Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q,KKITER
01/01/1990,  0.6221551E+08,  0.2691878E+06,  0.0000000E+00,  0.9630199E+04,  0.0000000E+00,  0.1105791E+08,  0.7137730E+06,  0.3939409E+06,  0.2274007E+05,  0.3324267E+08,  0.5079655E+09,  0.2425234E+07,  0.1510299E+07,  0.2584003E+11,  0.0000000E+00,  0.2994146E+09,  0.0000000E+00,  0.1201140E+08, -0.5186886E+05, -0.1290084E+06,  0.5277699E+06,  0.0000000E+00,  0.1335085E+03,  0.6456433E+04,  0.5555910E+04,  0.1576381E+07,  0.0000000E+00,  0.3230392E+03,  0.3282729E+05,  0.1207532E+05,  0.1484895E+03,  0.7476852E+03,  0.0000000E+00, -0.9058125E+03,  0.1873149E+07,  0.2754752E+05,  0.3625301E+06,  0.1045215E+08,   71
01/02/1990,  0.1051602E+08,  0.2426856E+06,  0.9493453E+03,  0.1173888E+05,  0.0000000E+00, -0.1665990E+07,  0.7007492E+06,  0.4034405E+06,  0.2116630E+05,  0.3265848E+08,  0.5168387E+09,  0.4541120E+07,  0.1627767E+07,  0.2583830E+11,  0.0000000E+00,  0.2932770E+09,  0.0000000E+00,  0.1283476E+08, -0.3724335E+05, -0.1290388E+06,  0.5277699E+06,  0.2304127E+06,  0.5359376E+03,  0.1170804E+05,  0.6927372E+04,  0.1476974E+07,  0.0000000E+00,  0.6734923E+03,  0.2867577E+05,  0.1207736E+05,  0.1278379E+03,  0.4198714E+03,  0.0000000E+00, -0.2111993E+06,  0.4288937E+06,  0.2299855E+05,  0.3124564E+06,  0.1221578E+08,   42
01/03/1990,  0.4670049E+07,  0.1509726E-01,  0.0000000E+00,  0.5945976E+04,  0.0000000E+00, -0.2610543E+07,  0.3295557E+06,  0.3923053E+06,  0.1465493E+05,  0.3204673E+08,  0.5157979E+09,  0.4351415E+07,  0.1850886E+07,  0.2583541E+11,  0.0000000E+00,  0.2925470E+09,  0.0000000E+00,  0.0000000E+00, -0.2558021E+05, -0.1290651E+06,  0.9933653E+06,  0.3711935E+06,  0.4506825E+03,  0.6513531E+04,  0.7472658E+04,  0.1530801E+07,  0.0000000E+00,  0.1123284E+04,  0.3069978E+05,  0.1447502E+05,  0.8605331E+02,  0.0000000E+00,  0.0000000E+00, -0.2273554E+06,  0.3674241E+06,  0.2215854E+05,  0.1432354E+06,  0.1068232E+05,   23
01/04/1990,  0.3113049E+07,  0.0000000E+00,  0.2796451E+02,  0.5546014E+04,  0.0000000E+00, -0.2263849E+07,  0.2447202E+06,  0.3922494E+06,  0.1370675E+05,  0.3139847E+08,  0.5143986E+09,  0.4218437E+07,  0.2070737E+07,  0.2583285E+11,  0.0000000E+00,  0.2925662E+09,  0.0000000E+00,  0.0000000E+00, -0.1621348E+05, -0.1290881E+06,  0.2608277E+06,  0.8483546E+05,  0.5589854E+02,  0.9481854E+03,  0.7017333E+04,  0.1828293E+07,  0.0000000E+00,  0.1379357E+04,  0.3114900E+05,  0.1221575E+05,  0.8884213E+02,  0.0000000E+00,  0.0000000E+00, -0.2075438E+06,  0.3482521E+06,  0.2197842E+05,  0.1270560E+06,  0.0000000E+00,   34
01/05/1990,  0.2448904E+07,  0.5236827E-01,  0.9191485E+03,  0.5622968E+04,  0.0000000E+00, -0.1920028E+07,  0.1828440E+06,  0.2634324E+06,  0.1331526E+05,  0.3076362E+08,  0.5127442E+09,  0.4144896E+07,  0.2298411E+07,  0.2583066E+11,  0.0000000E+00,  0.2927270E+09,  0.0000000E+00,  0.0000000E+00, -0.8465285E+04, -0.1291084E+06,  0.2699659E+06,  0.6187623E+05,  0.6174940E+03,  0.4029181E+03,  0.8423154E+04,  0.2146817E+07,  0.0000000E+00,  0.1943020E+04,  0.4138551E+05,  0.1489939E+05,  0.9472486E+02,  0.2740718E-09,  0.0000000E+00, -0.1889617E+06,  0.3393449E+06,  0.2161911E+05,  0.1097493E+06,  0.1279187E+06,   20
01/06/1990,  0.2868822E+07,  0.8576879E+05,  0.8997838E+03,  0.8894160E+04,  0.0000000E+00, -0.1340453E+07,  0.3485614E+06,  0.8023154E+05,  0.1460434E+05,  0.3014036E+08,  0.5146616E+09,  0.4946381E+07,  0.2551558E+07,  0.2582945E+11,  0.0000000E+00,  0.2929460E+09,  0.0000000E+00,  0.4585094E+07, -0.1895020E+04, -0.1291263E+06,  0.2767625E+06,  0.2055569E+05,  0.8148238E+02,  0.1088428E+04,  0.7839590E+04,  0.1980006E+07,  0.0000000E+00,  0.2127344E+04,  0.3630636E+05,  0.1464782E+05,  0.1204931E+03,  0.1511764E+03,  0.0000000E+00, -0.1725704E+06,  0.3743998E+06,  0.2161816E+05,  0.1191458E+06,  0.4458236E+07,   27
01/07/1990,  0.3241677E+08,  0.3959698E+07,  0.1608352E+06,  0.1604543E+07,  0.0000000E+00,  0.2029131E+07,  0.1049066E+07,  0.1532255E+07,  0.2719830E+05,  0.2956160E+08,  0.5972499E+09,  0.3947270E+08,  0.4997386E+07,  0.2583161E+11,  0.0000000E+00,  0.2938740E+09,  0.0000000E+00,  0.1305430E+09,  0.3763781E+04, -0.1291446E+06,  0.2787406E+06,  0.0000000E+00,  0.3632871E+01,  0.1139531E+05,  0.6038117E+04,  0.1711298E+07,  0.0000000E+00,  0.1711783E+04,  0.9841446E+04,  0.1083089E+05,  0.1577876E+05,  0.1075754E+05,  0.0000000E+00, -0.1532256E+06,  0.2886616E+07,  0.2314501E+05,  0.4391017E+06,  0.1228597E+09,   22
01/08/1990,  0.1073656E+08,  0.2956648E+07,  0.6523975E+05,  0.1988647E+07,  0.0000000E+00, -0.3689997E+06,  0.1049066E+07,  0.1287186E+07,  0.1700833E+05,  0.2992498E+08,  0.6640521E+09,  0.7143395E+08,  0.7434784E+07,  0.2583158E+11,  0.0000000E+00,  0.2944985E+09,  0.0000000E+00,  0.1101898E+09,  0.8680047E+04, -0.1291614E+06,  0.3628658E+07,  0.0000000E+00,  0.2366191E+03,  0.2158684E+05,  0.1141920E+05,  0.3017785E+07,  0.0000000E+00,  0.4064769E+04,  0.7372326E+04,  0.1958726E+05,  0.1543249E+05,  0.7311437E+04,  0.0000000E+00, -0.1401886E+06,  0.2935165E+07,  0.2288782E+05,  0.4936404E+06,  0.1061536E+09,   36
01/09/1990,  0.9941365E+07,  0.3908613E+06,  0.2493652E+05,  0.9986811E+06,  0.0000000E+00, -0.1199201E+07,  0.8152382E+06,  0.1027939E+07,  0.1507143E+05,  0.2984362E+08,  0.6698767E+09,  0.7297405E+08,  0.8621333E+07,  0.2583053E+11,  0.0000000E+00,  0.2945988E+09,  0.0000000E+00,  0.1288690E+08,  0.1183958E+05, -0.1291763E+06,  0.7250330E+07,  0.2338277E+06,  0.2608656E+03,  0.9561793E+04,  0.1294173E+05,  0.3264735E+07,  0.0000000E+00,  0.6151985E+04,  0.9678190E+04,  0.2661427E+05,  0.6910018E+04,  0.3700634E+03,  0.0000000E+00, -0.1293558E+06,  0.1624942E+07,  0.2293054E+05,  0.4324694E+06,  0.1266437E+08,   25
01/10/1990,  0.3223853E+07,  0.1537834E+00,  0.4178904E+04,  0.7392357E+06,  0.0000000E+00, -0.1482657E+07,  0.2520428E+06,  0.9571050E+06,  0.1411559E+05,  0.2927966E+08,  0.6685982E+09,  0.6999208E+08,  0.9355894E+07,  0.2582912E+11,  0.0000000E+00,  0.2947312E+09,  0.0000000E+00,  0.0000000E+00,  0.1468626E+05, -0.1291892E+06,  0.1000518E+07,  0.5631954E+06,  0.3035216E+03,  0.9558594E+03,  0.1292482E+05,  0.3113340E+07,  0.0000000E+00,  0.6279826E+04,  0.9430289E+04,  0.2416373E+05,  0.5666470E+04,  0.1625481E-09,  0.0000000E+00, -0.1187314E+06,  0.1076328E+07,  0.2269840E+05,  0.3358730E+06,  0.7010995E+05,   30
01/11/1990,  0.2727208E+07,  0.3440649E+00,  0.3594418E+04,  0.6330758E+06,  0.0000000E+00, -0.1324610E+07,  0.1660366E+06,  0.7854208E+06,  0.1373907E+05,  0.2868181E+08,  0.6668177E+09,  0.6744838E+08,  0.9930997E+07,  0.2582782E+11,  0.0000000E+00,  0.2948614E+09,  0.0000000E+00,  0.0000000E+00,  0.1710108E+05, -0.1292008E+06,  0.7789297E+06,  0.8600618E+05,  0.4413519E+03,  0.3765636E+03,  0.1254843E+05,  0.3587496E+07,  0.0000000E+00,  0.6793346E+04,  0.9495191E+04,  0.2216729E+05,  0.4909734E+04,  0.1273078E-08,  0.0000000E+00, -0.1088276E+06,  0.8616294E+06,  0.2268577E+05,  0.2799823E+06,  0.1702417E+06,   30
01/12/1990,  0.4283679E+07,  0.1380660E+07,  0.1005224E+06,  0.1344947E+07,  0.0000000E+00, -0.5186125E+05,  0.9601084E+06,  0.8042905E+06,  0.2210933E+05,  0.2809686E+08,  0.6873128E+09,  0.8289043E+08,  0.1203310E+08,  0.2582782E+11,  0.0000000E+00,  0.2951931E+09,  0.0000000E+00,  0.4478886E+08,  0.1971388E+05, -0.1292126E+06,  0.9021204E+06,  0.1779281E+04,  0.5967519E+02,  0.1521427E+05,  0.8631682E+04,  0.2593267E+07,  0.0000000E+00,  0.4075638E+04,  0.5567649E+04,  0.1421584E+05,  0.1189159E+05,  0.4363735E+04,  0.0000000E+00, -0.9857959E+05,  0.2597115E+07,  0.2299820E+05,  0.4910103E+06,  0.4199291E+08,   31
01/13/1990,  0.1268223E+08,  0.4450879E+07,  0.3568109E+06,  0.6715221E+07,  0.0000000E+00,  0.1188764E+07,  0.1049066E+07,  0.7362552E+06,  0.2767709E+05,  0.2787279E+08,  0.7479600E+09,  0.1474513E+09,  0.1914160E+08,  0.2583017E+11,  0.0000000E+00,  0.2963841E+09,  0.0000000E+00,  0.1483987E+09,  0.2190750E+05, -0.1292248E+06,  0.2545982E+07,  0.0000000E+00,  0.7344174E+02,  0.1091809E+05,  0.6101439E+04,  0.1882814E+07,  0.0000000E+00,  0.2875740E+04,  0.3432621E+04,  0.1116773E+05,  0.5358129E+05,  0.1248446E+05,  0.0000000E+00, -0.8753802E+05,  0.8491091E+07,  0.2388416E+05,  0.1379756E+07,  0.1421075E+09,   18
01/14/1990,  0.2122813E+08,  0.1828070E+07,  0.2260854E+06,  0.6154769E+07,  0.0000000E+00,  0.3198131E+06,  0.1011938E+07,  0.6531103E+06,  0.2386927E+05,  0.2823006E+08,  0.7662068E+09,  0.1764940E+09,  0.2568286E+08,  0.2583190E+11,  0.0000000E+00,  0.2972115E+09,  0.0000000E+00,  0.6577535E+08,  0.2408302E+05, -0.1292362E+06,  0.1349610E+08,  0.3712779E+05,  0.7521186E+02,  0.1463023E+05,  0.7467184E+04,  0.1859733E+07,  0.0000000E+00,  0.4757318E+04,  0.4483808E+04,  0.1522439E+05,  0.7372531E+05,  0.6036793E+04,  0.0000000E+00, -0.8013982E+05,  0.8172952E+07,  0.2444714E+05,  0.1626721E+07,  0.6318148E+08,   20
