obsnme,simval,obsval,weight,obgnme,comments
HO_0,72.4141235352,60.7131004333,1.0,HEADS,#
HO_1,299.26022338900003,321.51519775400004,1.0,HEADS,#
HO_2,89.5131607056,92.14749908450001,1.0,HEADS,#
HO_3,43.150028228800004,43.8522987366,1.0,HEADS,#
HO_4,1.4326152801499998,1.17550003529,1.0,HEADS,#
HO_5,2.71004343033,2.3805000782,1.0,HEADS,#
HO_6,56.967582702600005,60.0546989441,1.0,HEADS,#
HO_7,175.088027954,190.309295654,1.0,HEADS,#
HO_8,51.0199813843,42.330600738499996,1.0,HEADS,#
HO_9,50.8607063293,52.0217018127,1.0,HEADS,#
HO_10,51.3849601746,48.610500335699996,1.0,HEADS,#
HO_11,45.301067352299995,51.3138008118,1.0,HEADS,#
HO_12,26.1652336121,26.0044002533,1.0,HEADS,#
HO_13,13.292874336199999,15.5081996918,1.0,HEADS,#
HO_14,361.91955566400003,380.53979492199994,1.0,HEADS,#
HO_15,21.2537651062,14.0573997498,1.0,HEADS,#
HO_16,65.6144866943,60.5152015686,1.0,HEADS,#
HO_17,6.51122760773,6.1166000366199995,1.0,HEADS,#
HO_18,44.7113800049,38.3134002686,1.0,HEADS,#
HO_19,43.679321289099995,38.8009986877,1.0,HEADS,#
HO_20,20.0525798798,17.3945999146,1.0,HEADS,#
HO_21,30.7993869781,27.7947006226,1.0,HEADS,#
HO_22,23.8998718262,18.7147006989,1.0,HEADS,#
HO_23,19.7595672607,5.3654999732999995,1.0,HEADS,#
HO_24,19.8701095581,12.701899528499998,1.0,HEADS,#
HO_25,20.409988403299998,12.933799743699998,1.0,HEADS,#
HO_26,20.4419460297,12.055999755899999,1.0,HEADS,#
HO_27,21.5386791229,16.8985004425,1.0,HEADS,#
HO_28,21.0884876251,17.4908008575,1.0,HEADS,#
HO_29,20.0837306976,17.8964004517,1.0,HEADS,#
HO_30,25.3563289642,20.4466991425,1.0,HEADS,#
HO_31,51.1813163757,38.5256004333,1.0,HEADS,#
HO_32,44.6941604614,12.826000213599999,1.0,HEADS,#
HO_33,44.522094726599995,35.315700531,1.0,HEADS,#
HO_34,44.458137512200004,44.568099975600006,1.0,HEADS,#
HO_35,44.605247497600004,38.0232009888,1.0,HEADS,#
HO_36,6.49492692947,4.741499900819999,1.0,HEADS,#
HO_37,19.8321685791,12.4693002701,1.0,HEADS,#
HO_38,125.984313965,131.841796875,1.0,HEADS,#
HO_39,125.744064331,125.179397583,1.0,HEADS,#
HO_40,62.8859443665,64.1027984619,1.0,HEADS,#
HO_41,59.025726318400004,58.2778015137,1.0,HEADS,#
HO_42,96.54209899899999,95.8992004395,1.0,HEADS,#
HO_43,47.188106536899994,44.5270004272,1.0,HEADS,#
HO_44,60.4394950867,57.997299194300005,1.0,HEADS,#
HO_45,53.2535858154,52.448501586899994,1.0,HEADS,#
HO_46,88.1589279175,86.3453979492,1.0,HEADS,#
HO_47,100.81126403799999,101.793296814,1.0,HEADS,#
HO_48,321.311096191,337.276397705,1.0,HEADS,#
HO_49,53.8373794556,52.812698364300005,1.0,HEADS,#
HO_50,53.6005401611,53.846801757799994,1.0,HEADS,#
HO_51,82.4920196533,79.1760025024,1.0,HEADS,#
HO_52,82.462348938,83.1737976074,1.0,HEADS,#
HO_53,85.4906158447,85.94339752200001,1.0,HEADS,#
HO_54,60.096450805699995,52.555400848400005,1.0,HEADS,#
HO_55,77.5062255859,70.5123977661,1.0,HEADS,#
HO_56,51.7376899719,49.913398742700004,1.0,HEADS,#
HO_57,53.775169372600004,49.6344985962,1.0,HEADS,#
HO_58,45.455547332799995,43.7001991272,1.0,HEADS,#
HO_59,46.195083618199995,47.0382995605,1.0,HEADS,#
HO_60,51.5967025757,48.792400360100004,1.0,HEADS,#
HO_61,52.6615486145,49.9469985962,1.0,HEADS,#
HO_62,59.9204406738,60.305000305200004,1.0,HEADS,#
HO_63,56.3658065796,58.0648002625,1.0,HEADS,#
HO_64,340.61871337900004,342.960998535,1.0,HEADS,#
HO_65,145.170394897,140.086105347,1.0,HEADS,#
HO_66,335.625335693,336.102996826,1.0,HEADS,#
HO_67,150.921890259,147.782104492,1.0,HEADS,#
HO_68,144.733078003,149.232696533,1.0,HEADS,#
HO_69,145.506759644,144.211898804,1.0,HEADS,#
HO_70,145.506759644,143.365600586,1.0,HEADS,#
HO_71,554.112243652,553.659973145,1.0,HEADS,#
HO_72,241.645751953,238.96319580099998,1.0,HEADS,#
HO_73,250.94607543900003,234.057495117,1.0,HEADS,#
HO_74,220.065124512,219.53829956099997,1.0,HEADS,#
HO_75,221.16552734400003,220.830505371,1.0,HEADS,#
HO_76,242.152450562,256.07409668,1.0,HEADS,#
HO_77,225.914169312,229.424804688,1.0,HEADS,#
HO_78,226.397628784,230.24800109900002,1.0,HEADS,#
HO_79,226.370620728,226.520095825,1.0,HEADS,#
HO_80,241.207763672,258.186309814,1.0,HEADS,#
HO_81,216.31005859400003,220.44960022,1.0,HEADS,#
HO_82,211.700195312,217.59480285599997,1.0,HEADS,#
HO_83,215.089874268,205.736999512,1.0,HEADS,#
HO_84,202.860595703,199.04200744599999,1.0,HEADS,#
HO_85,197.434738159,204.353805542,1.0,HEADS,#
HO_86,222.274108887,219.514892578,1.0,HEADS,#
HO_87,223.456100464,237.576904297,1.0,HEADS,#
HO_88,225.076644897,232.421096802,1.0,HEADS,#
HO_89,226.712860107,238.891693115,1.0,HEADS,#
HO_90,197.60179138200002,189.36000061,1.0,HEADS,#
HO_91,212.567062378,200.199798584,1.0,HEADS,#
HO_92,196.30557251,199.727798462,1.0,HEADS,#
HO_93,207.493301392,196.187606812,1.0,HEADS,#
HO_94,180.00619506799998,184.282104492,1.0,HEADS,#
HO_95,162.106903076,165.550598145,1.0,HEADS,#
HO_96,148.40980529799998,119.11579895,1.0,HEADS,#
HO_97,156.407241821,161.82510376,1.0,HEADS,#
HO_98,159.139480591,155.513504028,1.0,HEADS,#
HO_99,161.283050537,162.746398926,1.0,HEADS,#
HO_100,197.48358154299999,196.154006958,1.0,HEADS,#
HO_101,165.274627686,160.18150329600002,1.0,HEADS,#
HO_102,165.343307495,161.90060424799998,1.0,HEADS,#
HO_103,179.52626037599998,176.05250549299998,1.0,HEADS,#
