FID,subbasin,area_m2,area_km_sq
0,1.000000000000000,258030000.000000000000000,258.029999999999973
1,2.000000000000000,236340000.000000000000000,236.340000000000003
2,3.000000000000000,34020000.000000000000000,34.020000000000003
3,4.000000000000000,210060000.000000000000000,210.060000000000002
4,5.000000000000000,197280000.000000000000000,197.280000000000001
5,6.000000000000000,360810000.000000000000000,360.810000000000002
6,7.000000000000000,34020000.000000000000000,34.020000000000003
7,8.000000000000000,183960000.000000000000000,183.960000000000008
8,9.000000000000000,180270000.000000000000000,180.270000000000010
9,10.000000000000000,102420000.000000000000000,102.420000000000002
10,11.000000000000000,113940000.000000000000000,113.939999999999998
11,12.000000000000000,131850000.000000000000000,131.849999999999994
12,13.000000000000000,6300000.000000000000000,6.300000000000000
13,14.000000000000000,85050000.000000000000000,85.049999999999997
14,15.000000000000000,30870000.000000000000000,30.870000000000001
15,16.000000000000000,111870000.000000000000000,111.870000000000005
16,17.000000000000000,55620000.000000000000000,55.619999999999997
17,18.000000000000000,137880000.000000000000000,137.879999999999995
18,19.000000000000000,38340000.000000000000000,38.340000000000003
19,20.000000000000000,159930000.000000000000000,159.930000000000007
20,21.000000000000000,176580000.000000000000000,176.580000000000013
21,22.000000000000000,340200000.000000000000000,340.199999999999989
