parnme,partrans,parval1,pargp,comments
ks_001,none,1,upw_ks,111
ks_002,none,1,upw_ks,121
ks_003,none,1,upw_ks,131
ks_004,none,1,upw_ks,141
ks_005,none,1,upw_ks,151
ks_006,none,1,upw_ks,161
ks_007,none,1,upw_ks,170
ks_008,none,1,upw_ks,180
ks_009,none,1,upw_ks,191
ks_010,none,1,upw_ks,212
ks_011,none,1,upw_ks,213
ks_012,none,1,upw_ks,243
ks_013,none,1,upw_ks,312
ks_014,none,1,upw_ks,313
ks_015,none,1,upw_ks,314
ks_016,none,1,upw_ks,322
ks_017,none,1,upw_ks,324
ks_018,none,1,upw_ks,332
ks_019,none,1,upw_ks,333
ks_020,none,1,upw_ks,342
ks_021,none,1,upw_ks,343
ks_022,none,1,upw_ks,344
ks_023,none,1,upw_ks,352
ks_024,none,1,upw_ks,353
ks_025,none,1,upw_ks,354
ks_026,none,1,upw_ks,362
ks_027,none,1,upw_ks,364
ks_028,none,1,upw_ks,392
ks_029,none,1,upw_ks,394
ks_030,none,1,upw_ks,415
ks_031,none,1,upw_ks,418
ks_032,none,1,upw_ks,425
ks_033,none,1,upw_ks,435
ks_034,none,1,upw_ks,437
ks_035,none,1,upw_ks,465
ks_036,none,1,upw_ks,495
ks_037,none,1,upw_ks,515
ks_038,none,1,upw_ks,518
ks_039,none,1,upw_ks,525
ks_040,none,1,upw_ks,528
ks_041,none,1,upw_ks,537
ks_042,none,1,upw_ks,538
ks_043,none,1,upw_ks,548
ks_044,none,1,upw_ks,558
ks_045,none,1,upw_ks,565
ks_046,none,1,upw_ks,568
ks_047,none,1,upw_ks,578
ks_048,none,1,upw_ks,588
ks_049,none,1,upw_ks,595
ks_050,none,1,upw_ks,598
ks_051,none,1,upw_ks,615
ks_052,none,1,upw_ks,617
ks_053,none,1,upw_ks,618
ks_054,none,1,upw_ks,625
ks_055,none,1,upw_ks,627
ks_056,none,1,upw_ks,628
ks_057,none,1,upw_ks,637
ks_058,none,1,upw_ks,645
ks_059,none,1,upw_ks,647
ks_060,none,1,upw_ks,648
ks_061,none,1,upw_ks,655
ks_062,none,1,upw_ks,657
ks_063,none,1,upw_ks,658
ks_064,none,1,upw_ks,665
ks_065,none,1,upw_ks,667
ks_066,none,1,upw_ks,668
ks_067,none,1,upw_ks,795
ks_068,none,1,upw_ks,796
ks_069,none,1,upw_ks,797
ks_070,none,1,upw_ks,798
ks_071,none,1,upw_ks,1010
ks_072,none,1,upw_ks,1020
ks_073,none,1,upw_ks,1030
ks_074,none,1,upw_ks,1040
ks_075,none,1,upw_ks,1050
ks_076,none,1,upw_ks,1060
ks_077,none,1,upw_ks,1070
ks_078,none,1,upw_ks,1080
ks_079,none,1,upw_ks,1090
ks_080,none,1,upw_ks,1101
ks_081,none,1,upw_ks,1110
ks_082,none,1,upw_ks,1121
ks_083,none,1,upw_ks,1131
ks_084,none,1,upw_ks,1140
ks_085,none,1,upw_ks,1150
ks_086,none,1,upw_ks,1160
ks_087,none,1,upw_ks,1171
ks_088,none,1,upw_ks,1181
ks_089,none,1,upw_ks,1190
ks_090,none,1,upw_ks,1191
ks_091,none,1,upw_ks,1211
ks_092,none,1,upw_ks,1220
ks_093,none,1,upw_ks,1260
ks_094,none,1,upw_ks,1290
ks_095,none,1,upw_ks,1320
ks_096,none,1,upw_ks,1350
ks_097,none,1,upw_ks,1360
ks_098,none,1,upw_ks,1370
