segment,reach,Qaquifer,gaining_days,losing_days,no_exchange_days,count_days,agg_months
1,1,1039.1197615384617,61.0,0.0,0.0,61.0,dry_to_wet
1,2,1924.9663461538462,61.0,0.0,0.0,61.0,dry_to_wet
1,3,2286.048653846154,61.0,0.0,0.0,61.0,dry_to_wet
1,4,2247.560269230769,61.0,0.0,0.0,61.0,dry_to_wet
1,5,1214.7148669230771,60.96153846153846,0.038461538461538464,0.0,61.0,dry_to_wet
1,6,1048.1736000000003,60.88461538461539,0.11538461538461539,0.0,61.0,dry_to_wet
1,7,964.5258023076924,60.61538461538461,0.38461538461538464,0.0,61.0,dry_to_wet
2,1,-256.6477603453846,0.0,61.0,0.0,61.0,dry_to_wet
2,2,-221.85476034538462,0.0,61.0,0.0,61.0,dry_to_wet
2,3,-185.78751419153846,0.0,61.0,0.0,61.0,dry_to_wet
2,4,-186.49294496076922,0.0,61.0,0.0,61.0,dry_to_wet
2,5,-187.1207180376923,0.0,61.0,0.0,61.0,dry_to_wet
2,6,-225.3605603453846,0.0,61.0,0.0,61.0,dry_to_wet
2,7,-225.93009880692304,0.0,61.0,0.0,61.0,dry_to_wet
2,8,-188.72202957615386,0.0,61.0,0.0,61.0,dry_to_wet
2,9,-227.10581419153849,0.0,61.0,0.0,61.0,dry_to_wet
2,10,-227.5819949607693,0.0,61.0,0.0,61.0,dry_to_wet
2,11,-190.0790180376923,0.0,61.0,0.0,61.0,dry_to_wet
2,12,-228.67476419153851,0.0,61.0,0.0,61.0,dry_to_wet
2,13,-229.08314496076926,0.0,61.0,0.0,61.0,dry_to_wet
3,1,1947.0853076923074,61.0,0.0,0.0,61.0,dry_to_wet
3,2,1039.1646153846154,61.0,0.0,0.0,61.0,dry_to_wet
3,3,2838.886153846154,61.0,0.0,0.0,61.0,dry_to_wet
4,1,1065.2575311538465,56.88461538461539,4.115384615384615,0.0,61.0,dry_to_wet
4,2,-67.00346511538463,31.384615384615383,29.615384615384617,0.0,61.0,dry_to_wet
4,3,-7469.301538461539,0.0,61.0,0.0,61.0,dry_to_wet
4,4,-4599.929076923077,0.0,61.0,0.0,61.0,dry_to_wet
4,5,-8446.972638461539,0.0,61.0,0.0,61.0,dry_to_wet
4,6,-6317.820514206097,0.0,61.0,0.0,61.0,dry_to_wet
5,1,-15597.641846153847,0.0,60.80769230769231,0.19230769230769232,61.0,dry_to_wet
5,2,1900.519182692307,38.53846153846154,22.46153846153846,0.0,61.0,dry_to_wet
5,3,11966.879023076921,53.88461538461539,7.115384615384615,0.0,61.0,dry_to_wet
5,4,12319.666486146152,53.92307692307692,7.076923076923077,0.0,61.0,dry_to_wet
5,5,57461.03961538462,61.0,0.0,0.0,61.0,dry_to_wet
5,6,52.48122319230767,32.26923076923077,28.73076923076923,0.0,61.0,dry_to_wet
5,7,1777.547476461539,51.92307692307692,9.076923076923077,0.0,61.0,dry_to_wet
5,8,580.4518882692307,38.57692307692308,22.423076923076923,0.0,61.0,dry_to_wet
6,1,-106.89411986346157,0.0,61.0,0.0,61.0,dry_to_wet
6,2,-104.57616986346154,0.0,61.0,0.0,61.0,dry_to_wet
6,3,-103.15063909423075,0.0,61.0,0.0,61.0,dry_to_wet
6,4,-100.75603524807687,0.0,61.0,0.0,61.0,dry_to_wet
6,5,-80.74148909423077,0.0,61.0,0.0,61.0,dry_to_wet
6,6,-37.743054478846155,0.0,61.0,0.0,61.0,dry_to_wet
6,7,-267.27861794038466,0.0,61.0,0.0,61.0,dry_to_wet
7,1,687.0053823076923,60.88461538461539,0.11538461538461539,0.0,61.0,dry_to_wet
7,2,311.2379394476922,51.26923076923077,9.73076923076923,0.0,61.0,dry_to_wet
7,3,-520.4507799,8.423076923076923,52.57692307692308,0.0,61.0,dry_to_wet
7,4,728.4453460153846,60.23076923076923,0.7692307692307693,0.0,61.0,dry_to_wet
7,5,780.3580918846154,60.30769230769231,0.6923076923076923,0.0,61.0,dry_to_wet
8,1,-11634.28526923077,0.0,61.0,0.0,61.0,dry_to_wet
8,2,-6641.092430769233,0.0,61.0,0.0,61.0,dry_to_wet
8,3,-7955.704844615382,0.0,61.0,0.0,61.0,dry_to_wet
8,4,-8766.492586923077,0.0,61.0,0.0,61.0,dry_to_wet
8,5,-5468.856781153846,8.807692307692308,52.19230769230769,0.0,61.0,dry_to_wet
8,6,3454.151483846154,42.23076923076923,18.76923076923077,0.0,61.0,dry_to_wet
8,7,11910.813853846154,56.30769230769231,4.6923076923076925,0.0,61.0,dry_to_wet
8,8,14710.862169230768,60.88461538461539,0.11538461538461539,0.0,61.0,dry_to_wet
8,9,80217.15384615383,61.0,0.0,0.0,61.0,dry_to_wet
8,10,74083.5923076923,61.0,0.0,0.0,61.0,dry_to_wet
8,11,4813.723046153846,60.92307692307692,0.07692307692307693,0.0,61.0,dry_to_wet
9,1,-109.21298671757692,0.0,61.0,0.0,61.0,dry_to_wet
9,2,-107.27051364065383,0.0,61.0,0.0,61.0,dry_to_wet
9,3,-104.65579440988462,0.0,61.0,0.0,61.0,dry_to_wet
9,4,-81.26502517911538,0.0,61.0,0.0,61.0,dry_to_wet
9,5,-75.1952097945,0.0,61.0,0.0,61.0,dry_to_wet
9,6,-62.97450940988461,0.0,61.0,0.0,61.0,dry_to_wet
9,7,-71.79085517911538,0.0,61.0,0.0,61.0,dry_to_wet
9,8,-174.74359440988462,0.0,61.0,0.0,61.0,dry_to_wet
9,9,-68.8262571021923,0.0,61.0,0.0,61.0,dry_to_wet
9,10,-72.02138287142306,0.0,61.0,0.0,61.0,dry_to_wet
9,11,-71.79290787142307,0.0,61.0,0.0,61.0,dry_to_wet
9,12,-71.49785787142308,0.0,61.0,0.0,61.0,dry_to_wet
9,13,-73.67721517911538,0.0,61.0,0.0,61.0,dry_to_wet
9,14,-76.38690979450001,0.0,61.0,0.0,61.0,dry_to_wet
9,15,-76.20618671757691,0.0,61.0,0.0,61.0,dry_to_wet
9,16,-74.6260974868077,0.0,61.0,0.0,61.0,dry_to_wet
9,17,-69.90168248680769,0.0,61.0,0.0,61.0,dry_to_wet
9,18,-282.87197902526924,0.0,61.0,0.0,61.0,dry_to_wet
9,19,-282.35359825603854,0.0,61.0,0.0,61.0,dry_to_wet
9,20,-52.21353825603846,0.0,61.0,0.0,61.0,dry_to_wet
9,21,-51.10263748680769,0.0,61.0,0.0,61.0,dry_to_wet
10,1,-258.6679507388461,0.0,61.0,0.0,61.0,dry_to_wet
10,2,-105.42470843115383,0.0,61.0,0.0,61.0,dry_to_wet
10,3,-104.31511612346155,0.0,61.0,0.0,61.0,dry_to_wet
10,4,-103.42438150807689,0.0,61.0,0.0,61.0,dry_to_wet
10,5,-188.46401996961535,0.0,61.0,0.0,61.0,dry_to_wet
10,6,-226.49975073884616,0.0,61.0,0.0,61.0,dry_to_wet
11,1,2224.536538461539,61.0,0.0,0.0,61.0,dry_to_wet
11,2,1342.7676461538465,61.0,0.0,0.0,61.0,dry_to_wet
11,3,1974.3273076923074,61.0,0.0,0.0,61.0,dry_to_wet
11,4,3757.4761538461553,61.0,0.0,0.0,61.0,dry_to_wet
11,5,1345.561596153846,61.0,0.0,0.0,61.0,dry_to_wet
11,6,573.5275401923077,60.15384615384615,0.8461538461538461,0.0,61.0,dry_to_wet
11,7,1895.0130076923076,61.0,0.0,0.0,61.0,dry_to_wet
11,8,-7757.475769230769,0.0,61.0,0.0,61.0,dry_to_wet
12,1,-110.40065857215384,0.0,61.0,0.0,61.0,dry_to_wet
12,2,-108.40605087984615,0.0,61.0,0.0,61.0,dry_to_wet
12,3,-106.53997011061537,0.0,61.0,0.0,61.0,dry_to_wet
12,4,-104.972154726,0.0,61.0,0.0,61.0,dry_to_wet
12,5,-104.2854893413846,0.0,61.0,0.0,61.0,dry_to_wet
12,6,-92.40827395676921,0.0,61.0,0.0,61.0,dry_to_wet
12,7,-86.87334318753848,0.0,61.0,0.0,61.0,dry_to_wet
12,8,-84.41208549523078,0.0,61.0,0.0,61.0,dry_to_wet
12,9,-79.83584318753846,0.0,61.0,0.0,61.0,dry_to_wet
12,10,-231.63847011061534,0.0,61.0,0.0,61.0,dry_to_wet
12,11,-230.85365087984616,0.0,61.0,0.0,61.0,dry_to_wet
12,12,-269.5734008798462,0.0,61.0,0.0,61.0,dry_to_wet
12,13,-269.4231970336922,0.0,61.0,0.0,61.0,dry_to_wet
12,14,-65.53784049523078,0.0,61.0,0.0,61.0,dry_to_wet
13,1,-4590.464301692308,5.576923076923077,55.42307692307692,0.0,61.0,dry_to_wet
13,2,372.3237016923077,39.26923076923077,21.73076923076923,0.0,61.0,dry_to_wet
13,3,346.36774380769214,39.07692307692308,21.923076923076923,0.0,61.0,dry_to_wet
13,4,-20.19694148076913,32.76923076923077,28.23076923076923,0.0,61.0,dry_to_wet
13,5,324.6310648461539,39.07692307692308,21.923076923076923,0.0,61.0,dry_to_wet
13,6,-1048.4826949307692,19.03846153846154,41.96153846153846,0.0,61.0,dry_to_wet
13,7,388.57968240307696,37.88461538461539,23.115384615384617,0.0,61.0,dry_to_wet
13,8,-19351.98773076923,0.0,61.0,0.0,61.0,dry_to_wet
14,1,-594.4964082634154,0.0,61.0,0.0,61.0,dry_to_wet
14,2,-244.61819576960767,0.0,61.0,0.0,61.0,dry_to_wet
14,3,-244.06634730806925,0.0,61.0,0.0,61.0,dry_to_wet
14,4,-243.80495461576155,0.0,61.0,0.0,61.0,dry_to_wet
15,1,-42.9984081801923,0.0,61.0,0.0,61.0,dry_to_wet
15,2,-6.225711834038462,0.0,61.0,0.0,61.0,dry_to_wet
15,3,21.59045470769231,59.76923076923077,1.2307692307692308,0.0,61.0,dry_to_wet
15,4,-271.8781896153846,0.0,61.0,0.0,61.0,dry_to_wet
16,1,754.3255115384617,61.0,0.0,0.0,61.0,dry_to_wet
16,2,1284.7236846153844,61.0,0.0,0.0,61.0,dry_to_wet
16,3,1311.131492307692,61.0,0.0,0.0,61.0,dry_to_wet
16,4,1885.3433846153846,61.0,0.0,0.0,61.0,dry_to_wet
16,5,1113.8696269230768,60.84615384615385,0.15384615384615385,0.0,61.0,dry_to_wet
16,6,-1455.3270346153852,0.0,61.0,0.0,61.0,dry_to_wet
16,7,-7155.0653846153855,0.0,61.0,0.0,61.0,dry_to_wet
16,8,-5813.163849333845,0.0,61.0,0.0,61.0,dry_to_wet
16,9,-6319.679237795386,0.0,61.0,0.0,61.0,dry_to_wet
16,10,-5286.25835318,0.0,61.0,0.0,61.0,dry_to_wet
16,11,-3835.4060839492313,0.0,61.0,0.0,61.0,dry_to_wet
16,12,-3597.4592377953845,0.0,61.0,0.0,61.0,dry_to_wet
16,13,-2075.4664993338456,7.038461538461538,53.96153846153846,0.0,61.0,dry_to_wet
16,14,12351.677279615384,51.61538461538461,9.384615384615385,0.0,61.0,dry_to_wet
16,15,237.00959054615382,37.53846153846154,23.46153846153846,0.0,61.0,dry_to_wet
16,16,810.5929135769228,58.53846153846154,2.4615384615384617,0.0,61.0,dry_to_wet
16,17,-870.6607515384617,5.1923076923076925,55.80769230769231,0.0,61.0,dry_to_wet
17,1,-457.56755229815377,0.0,61.0,0.0,61.0,dry_to_wet
17,2,-266.1450961443077,0.0,61.0,0.0,61.0,dry_to_wet
17,3,-265.6614749904616,0.0,61.0,0.0,61.0,dry_to_wet
18,1,1435.074576923077,61.0,0.0,0.0,61.0,dry_to_wet
18,2,-6485.165153846155,0.0,61.0,0.0,61.0,dry_to_wet
18,3,-7143.423361315384,0.0,61.0,0.0,61.0,dry_to_wet
18,4,-5887.944438238462,0.0,61.0,0.0,61.0,dry_to_wet
19,1,-108.22481569353846,0.0,61.0,0.0,61.0,dry_to_wet
19,2,-106.80732723200002,0.0,61.0,0.0,61.0,dry_to_wet
19,3,-105.58899646276924,0.0,61.0,0.0,61.0,dry_to_wet
19,4,-104.78962338584617,0.0,61.0,0.0,61.0,dry_to_wet
19,5,4.199392707692308,52.69230769230769,8.307692307692308,0.0,61.0,dry_to_wet
19,6,363.2398692307692,61.0,0.0,0.0,61.0,dry_to_wet
19,7,-211.66179230769228,0.0,61.0,0.0,61.0,dry_to_wet
20,1,110.3516096153847,34.30769230769231,26.692307692307693,0.0,61.0,dry_to_wet
21,1,-402.0025368998768,0.0,61.0,0.0,61.0,dry_to_wet
21,2,-338.6900292075692,0.0,61.0,0.0,61.0,dry_to_wet
21,3,-293.7816484383385,0.0,61.0,0.0,61.0,dry_to_wet
21,4,-293.9408061306462,0.0,61.0,0.0,61.0,dry_to_wet
21,5,-294.0991407460308,0.0,61.0,0.0,61.0,dry_to_wet
21,6,-294.2567445921846,0.0,61.0,0.0,61.0,dry_to_wet
21,7,-88.57867025756923,20.23076923076923,40.76923076923077,0.0,61.0,dry_to_wet
21,8,-49845.14048398449,9.576923076923077,51.42307692307692,0.0,61.0,dry_to_wet
21,9,-110886.39927497682,0.0,61.0,0.0,61.0,dry_to_wet
21,10,-73285.5644522845,0.0,61.0,0.0,61.0,dry_to_wet
21,11,493.93436192307695,60.76923076923077,0.23076923076923078,0.0,61.0,dry_to_wet
21,12,1387.7171538461541,61.0,0.0,0.0,61.0,dry_to_wet
21,13,681.7027846153846,61.0,0.0,0.0,61.0,dry_to_wet
21,14,715.8195192307692,61.0,0.0,0.0,61.0,dry_to_wet
21,15,1069.5890538461538,61.0,0.0,0.0,61.0,dry_to_wet
21,16,1242.3137692307694,61.0,0.0,0.0,61.0,dry_to_wet
21,17,1855.1741538461538,61.0,0.0,0.0,61.0,dry_to_wet
21,18,1840.2866538461535,61.0,0.0,0.0,61.0,dry_to_wet
21,19,1769.639846153846,61.0,0.0,0.0,61.0,dry_to_wet
21,20,864.0617500000002,61.0,0.0,0.0,61.0,dry_to_wet
22,1,13897.51668461538,59.96153846153846,1.0384615384615385,0.0,61.0,dry_to_wet
22,2,882.87099,39.84615384615385,21.153846153846153,0.0,61.0,dry_to_wet
23,1,1839.9256153846154,61.0,0.0,0.0,61.0,dry_to_wet
23,2,3487.7789230769226,61.0,0.0,0.0,61.0,dry_to_wet
23,3,1629.5707307692307,61.0,0.0,0.0,61.0,dry_to_wet
23,4,2645.1329230769234,61.0,0.0,0.0,61.0,dry_to_wet
