segment,reach,Qaquifer,gaining_days,losing_days,no_exchange_days,count_days,agg_months
1,1,1860.8913346153847,61.0,0.0,0.0,61.0,wet_to_dry
1,2,2892.5259461538453,61.0,0.0,0.0,61.0,wet_to_dry
1,3,3708.600730769231,61.0,0.0,0.0,61.0,wet_to_dry
1,4,3448.1099846153843,61.0,0.0,0.0,61.0,wet_to_dry
1,5,2456.45672,60.92307692307692,0.07692307692307693,0.0,61.0,wet_to_dry
1,6,2336.9399197692314,60.80769230769231,0.19230769230769232,0.0,61.0,wet_to_dry
1,7,2079.1939891153843,60.30769230769231,0.6923076923076923,0.0,61.0,wet_to_dry
2,1,-300.01552692307695,0.0,61.0,0.0,61.0,wet_to_dry
2,2,-259.2729384615385,0.0,61.0,0.0,61.0,wet_to_dry
2,3,-216.7960884615385,0.0,61.0,0.0,61.0,wet_to_dry
2,4,-218.29589615384617,0.0,61.0,0.0,61.0,wet_to_dry
2,5,-219.63078076923082,0.0,61.0,0.0,61.0,wet_to_dry
2,6,-266.34416538461534,0.0,61.0,0.0,61.0,wet_to_dry
2,7,-267.69233076923075,0.0,61.0,0.0,61.0,wet_to_dry
2,8,-223.04499230769227,0.0,61.0,0.0,61.0,wet_to_dry
2,9,-270.1936230769231,0.0,61.0,0.0,61.0,wet_to_dry
2,10,-271.33519615384614,0.0,61.0,0.0,61.0,wet_to_dry
2,11,-225.93831538461538,0.0,61.0,0.0,61.0,wet_to_dry
2,12,-273.5391269230769,0.0,61.0,0.0,61.0,wet_to_dry
2,13,-274.55428076923073,0.0,61.0,0.0,61.0,wet_to_dry
3,1,2963.209923076923,61.0,0.0,0.0,61.0,wet_to_dry
3,2,2069.39613,60.88461538461539,0.11538461538461539,0.0,61.0,wet_to_dry
3,3,4509.295230769231,61.0,0.0,0.0,61.0,wet_to_dry
4,1,3632.4112660769224,59.46153846153846,1.5384615384615385,0.0,61.0,wet_to_dry
4,2,1741.3352061153846,54.88461538461539,6.115384615384615,0.0,61.0,wet_to_dry
4,3,-7449.111730769229,0.0,61.0,0.0,61.0,wet_to_dry
4,4,-3690.3247402692314,3.076923076923077,57.92307692307692,0.0,61.0,wet_to_dry
4,5,-9344.725384615384,0.0,61.0,0.0,61.0,wet_to_dry
4,6,-7835.461534615384,0.0,61.0,0.0,61.0,wet_to_dry
5,1,-16435.82900769231,0.0,61.0,0.0,61.0,wet_to_dry
5,2,10664.275676923078,43.88461538461539,17.115384615384617,0.0,61.0,wet_to_dry
5,3,20588.93962692307,56.15384615384615,4.846153846153846,0.0,61.0,wet_to_dry
5,4,23233.384063076926,56.46153846153846,4.538461538461538,0.0,61.0,wet_to_dry
5,5,67745.21076923076,61.0,0.0,0.0,61.0,wet_to_dry
5,6,4644.144986153846,52.61538461538461,8.384615384615385,0.0,61.0,wet_to_dry
5,7,6200.4325207346155,56.53846153846154,4.461538461538462,0.0,61.0,wet_to_dry
5,8,5975.3730537923075,57.0,4.0,0.0,61.0,wet_to_dry
6,1,-117.88746923076923,0.0,61.0,0.0,61.0,wet_to_dry
6,2,-116.17363076923074,0.0,61.0,0.0,61.0,wet_to_dry
6,3,-115.73045384615382,0.0,61.0,0.0,61.0,wet_to_dry
6,4,-113.58331153846152,0.0,61.0,0.0,61.0,wet_to_dry
6,5,-91.51893076923078,0.0,61.0,0.0,61.0,wet_to_dry
6,6,-44.75188346153846,0.0,61.0,0.0,61.0,wet_to_dry
6,7,-313.7753769230769,0.0,61.0,0.0,61.0,wet_to_dry
7,1,6728.901,61.0,0.0,0.0,61.0,wet_to_dry
7,2,6281.038346153845,61.0,0.0,0.0,61.0,wet_to_dry
7,3,4570.783005461539,60.0,1.0,0.0,61.0,wet_to_dry
7,4,5221.107982307692,60.57692307692308,0.4230769230769231,0.0,61.0,wet_to_dry
7,5,5692.386413461537,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
8,1,-12713.270730769233,0.0,61.0,0.0,61.0,wet_to_dry
8,2,-5680.167396384615,6.461538461538462,54.53846153846154,0.0,61.0,wet_to_dry
8,3,-6867.099356384615,6.230769230769231,54.76923076923077,0.0,61.0,wet_to_dry
8,4,-3360.1603913846147,17.846153846153847,43.15384615384615,0.0,61.0,wet_to_dry
8,5,3095.5432472269235,34.38461538461539,26.615384615384617,0.0,61.0,wet_to_dry
8,6,12625.168190769231,53.96153846153846,7.038461538461538,0.0,61.0,wet_to_dry
8,7,21166.093615384612,61.0,0.0,0.0,61.0,wet_to_dry
8,8,24550.062192307687,61.0,0.0,0.0,61.0,wet_to_dry
8,9,90526.95384615386,61.0,0.0,0.0,61.0,wet_to_dry
8,10,81676.01153846153,61.0,0.0,0.0,61.0,wet_to_dry
8,11,7707.775634615383,60.92307692307692,0.07692307692307693,0.0,61.0,wet_to_dry
9,1,-117.47964230769229,0.0,61.0,0.0,61.0,wet_to_dry
9,2,-117.16079615384616,0.0,61.0,0.0,61.0,wet_to_dry
9,3,-115.26131923076923,0.0,61.0,0.0,61.0,wet_to_dry
9,4,-90.80251923076922,0.0,61.0,0.0,61.0,wet_to_dry
9,5,-85.10630653846154,0.0,61.0,0.0,61.0,wet_to_dry
9,6,-72.82398346153846,0.0,61.0,0.0,61.0,wet_to_dry
9,7,-82.74174615384615,0.0,61.0,0.0,61.0,wet_to_dry
9,8,-187.0002615384615,0.0,61.0,0.0,61.0,wet_to_dry
9,9,-80.69897807692305,0.0,61.0,0.0,61.0,wet_to_dry
9,10,-84.19713615384617,0.0,61.0,0.0,61.0,wet_to_dry
9,11,-84.86193192307691,0.0,61.0,0.0,61.0,wet_to_dry
9,12,-85.27783576923078,0.0,61.0,0.0,61.0,wet_to_dry
9,13,-87.79786269230769,0.0,61.0,0.0,61.0,wet_to_dry
9,14,-90.5547203846154,0.0,61.0,0.0,61.0,wet_to_dry
9,15,-90.74902923076924,0.0,61.0,0.0,61.0,wet_to_dry
9,16,-89.42844076923078,0.0,61.0,0.0,61.0,wet_to_dry
9,17,-85.46802384615384,0.0,61.0,0.0,61.0,wet_to_dry
9,18,-333.001,0.0,61.0,0.0,61.0,wet_to_dry
9,19,-334.3434807692307,0.0,61.0,0.0,61.0,wet_to_dry
9,20,-68.37988038461539,0.0,61.0,0.0,61.0,wet_to_dry
9,21,-67.59909076923076,0.0,61.0,0.0,61.0,wet_to_dry
10,1,-302.1937692307692,0.0,61.0,0.0,61.0,wet_to_dry
10,2,-117.52775,0.0,61.0,0.0,61.0,wet_to_dry
10,3,-117.57468846153846,0.0,61.0,0.0,61.0,wet_to_dry
10,4,-117.45503461538462,0.0,61.0,0.0,61.0,wet_to_dry
10,5,-221.05710000000002,0.0,61.0,0.0,61.0,wet_to_dry
10,6,-268.1858307692308,0.0,61.0,0.0,61.0,wet_to_dry
11,1,3308.0997307692296,61.0,0.0,0.0,61.0,wet_to_dry
11,2,2853.1295307692303,61.0,0.0,0.0,61.0,wet_to_dry
11,3,2897.307903846154,61.0,0.0,0.0,61.0,wet_to_dry
11,4,5286.658307692307,61.0,0.0,0.0,61.0,wet_to_dry
11,5,2520.7201999999993,60.92307692307692,0.07692307692307693,0.0,61.0,wet_to_dry
11,6,1402.2005329615386,59.73076923076923,1.2692307692307692,0.0,61.0,wet_to_dry
11,7,2927.0820615384623,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
11,8,-7972.783076923077,0.0,61.0,0.0,61.0,wet_to_dry
12,1,-120.23327307692306,0.0,61.0,0.0,61.0,wet_to_dry
12,2,-118.67072692307691,0.0,61.0,0.0,61.0,wet_to_dry
12,3,-117.12817692307691,0.0,61.0,0.0,61.0,wet_to_dry
12,4,-116.22837307692308,0.0,61.0,0.0,61.0,wet_to_dry
12,5,-116.43488846153845,0.0,61.0,0.0,61.0,wet_to_dry
12,6,-104.11738461538464,0.0,61.0,0.0,61.0,wet_to_dry
12,7,-98.7365846153846,0.0,61.0,0.0,61.0,wet_to_dry
12,8,-96.61229999999999,0.0,61.0,0.0,61.0,wet_to_dry
12,9,-92.19149230769231,0.0,61.0,0.0,61.0,wet_to_dry
12,10,-270.14950000000005,0.0,61.0,0.0,61.0,wet_to_dry
12,11,-271.3351038461538,0.0,61.0,0.0,61.0,wet_to_dry
12,12,-319.1427153846153,0.0,61.0,0.0,61.0,wet_to_dry
12,13,-320.43214230769235,0.0,61.0,0.0,61.0,wet_to_dry
12,14,-79.09565807692307,0.0,61.0,0.0,61.0,wet_to_dry
13,1,1726.7993807692308,33.76923076923077,27.23076923076923,0.0,61.0,wet_to_dry
13,2,5022.751709999999,60.46153846153846,0.5384615384615384,0.0,61.0,wet_to_dry
13,3,4560.199058846154,57.96153846153846,3.0384615384615383,0.0,61.0,wet_to_dry
13,4,4394.044992692309,57.30769230769231,3.6923076923076925,0.0,61.0,wet_to_dry
13,5,5042.650798076924,60.61538461538461,0.38461538461538464,0.0,61.0,wet_to_dry
13,6,3793.782403846153,54.73076923076923,6.269230769230769,0.0,61.0,wet_to_dry
13,7,5051.6752730384615,57.69230769230769,3.3076923076923075,0.0,61.0,wet_to_dry
13,8,-16907.10042307692,0.0,61.0,0.0,61.0,wet_to_dry
14,1,-752.4950384615386,0.0,61.0,0.0,61.0,wet_to_dry
14,2,-312.32337692307686,0.0,61.0,0.0,61.0,wet_to_dry
14,3,-312.8459230769231,0.0,61.0,0.0,61.0,wet_to_dry
14,4,-313.3645115384616,0.0,61.0,0.0,61.0,wet_to_dry
15,1,-48.19906846153846,0.0,61.0,0.0,61.0,wet_to_dry
15,2,-8.817261038461536,0.0,61.0,0.0,61.0,wet_to_dry
15,3,18.06942361153846,56.38461538461539,4.615384615384615,0.0,61.0,wet_to_dry
15,4,-311.52621153846155,0.0,61.0,0.0,61.0,wet_to_dry
16,1,1323.480815384615,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
16,2,2274.669241153845,60.96153846153846,0.038461538461538464,0.0,61.0,wet_to_dry
