,id,Time,tstp,interations
25,120.0,1037.404426574707,365.0,6090.0
20,116.0,1091.9404983520508,365.0,6547.0
114,21.0,1102.3062391281128,365.0,6062.0
111,199.0,1120.815812587738,365.0,7176.0
183,84.0,1124.2445585727692,365.0,6228.0
18,114.0,1162.243634223938,365.0,7095.0
145,5.0,1171.7508664131165,365.0,6403.0
83,173.0,1172.6628167629242,365.0,6382.0
50,143.0,1173.837880373001,365.0,6519.0
144,49.0,1175.865196466446,365.0,6499.0
110,198.0,1176.7893998622894,365.0,7370.0
150,54.0,1177.2561349868774,365.0,6262.0
62,154.0,1179.7693846225739,365.0,7119.0
2,10.0,1188.8143928050995,365.0,6531.0
180,81.0,1194.0168597698212,365.0,6727.0
0,0.0,1204.0665802955627,365.0,6116.0
115,22.0,1210.112331867218,365.0,6121.0
176,78.0,1214.0655279159546,365.0,6305.0
57,15.0,1220.5508389472961,365.0,7028.0
109,197.0,1221.5432608127594,365.0,8018.0
116,23.0,1221.6132979393005,365.0,7021.0
9,106.0,1222.2803103923798,365.0,7728.0
69,160.0,1223.3039438724518,365.0,7449.0
165,68.0,1224.7337834835052,365.0,7313.0
41,135.0,1247.6568295955658,365.0,7300.0
13,11.0,1247.7880899906158,365.0,6968.0
65,157.0,1252.9157779216766,365.0,6376.0
102,190.0,1253.1957821846008,365.0,7341.0
182,83.0,1255.210025548935,365.0,7439.0
191,91.0,1269.9573867321014,365.0,7363.0
97,186.0,1274.9946324825287,365.0,7620.0
48,141.0,1276.7374966144562,365.0,7300.0
66,158.0,1282.8871004581451,365.0,8057.0
101,19.0,1285.6813473701477,365.0,7482.0
118,25.0,1287.0407373905182,365.0,7350.0
76,167.0,1291.5323820114136,365.0,7231.0
169,71.0,1298.2088708877563,365.0,8041.0
52,145.0,1305.0055830478668,365.0,8007.0
178,8.0,1306.7309157848358,365.0,6834.0
90,18.0,1306.7769272327423,365.0,7612.0
81,171.0,1311.8466186523438,365.0,7518.0
113,20.0,1312.1679754257202,365.0,6883.0
161,64.0,1313.9602267742157,365.0,8018.0
155,59.0,1316.2238154411316,365.0,7298.0
152,56.0,1317.4738636016846,365.0,7360.0
126,32.0,1320.8508851528168,365.0,8063.0
