FID,station_ID,station_na,GSFLOW_Zon,Data_Type,Source,LAT,LONG
0,USC00049684,WILLITS 1 NE,1,Precip,GHCND,39.419400000000003,-123.342500000000001
1,USC00047109,POTTER VALLEY P H,2,Precip,GHCND,39.361899999999999,-123.128600000000006
2,USC00049122,UKIAH,3,Precip,GHCND,39.146599999999999,-123.210200000000000
3,LYONSVALLEY,LYONSVALLEY,4,Precip,RAWS,39.130001000000000,-123.069999999999993
4,USC00049124,UKIAH 4 WSW,5,Precip,GHCND,39.126600000000003,-123.271900000000002
5,85,Hopland FS,6,Precip,CIMIS,39.006746999999997,-123.080119999999994
6,BOONVILLE,BOONVILLE,7,Precip,RAWS,38.990001999999997,-123.349997999999999
7,USC00041838,CLOVERDALE,8,Precip,GHCND,38.792960000000001,-123.026300000000006
8,HAWKEYE,HAWKEYE,9,Precip,RAWS,38.779998999999997,-122.919998000000007
9,USC00043875,HEALDSBURG,10,Precip,GHCND,38.629350000000002,-122.866460000000004
10,USC00041312,CALISTOGA,11,Precip,GHCND,38.629350000000002,-122.866460000000004
11,103,Windsor,12,Precip,CIMIS,38.526649999999997,-122.813758000000007
12,USC00043191,FT ROSS,13,Precip,GHCND,38.515000000000001,-123.244699999999995
13,USC00043578,GRATON,14,Precip,GHCND,38.430500000000002,-122.864699999999999
14,USC00046370,OCCIDENTAL,15,Precip,GHCND,38.385800000000003,-122.966099999999997
