parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,extra
bhead_mult_1,none,factor,1.0,0.05,3.0,ghb_bhead,1.0,0.0,1,
bhead_mult_2,none,factor,1.0,0.05,3.0,ghb_bhead,1.0,0.0,1,
bhead_mult_3,none,factor,1.0,0.05,3.0,ghb_bhead,1.0,0.0,1,
bhead_mult_4,none,factor,1.0,0.05,3.0,ghb_bhead,1.0,0.0,1,
bhead_mult_5,none,factor,1.0,0.05,3.0,ghb_bhead,1.0,0.0,1,
bhead_mult_6,none,factor,1.0,0.05,3.0,ghb_bhead,1.0,0.0,1,
bhead_mult_7,none,factor,1.0,0.05,3.0,ghb_bhead,1.0,0.0,1,
carea_max_mult_01,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_02,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_03,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_04,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_05,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_06,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_07,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_08,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_09,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_10,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_11,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_12,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_13,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_14,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_15,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_16,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_17,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_18,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
carea_max_mult_19,fixed,factor,1.0,0.1,5.0,prms_carea_max,1.0,0.0,1,
