simval,obsnme,obsval,weight,obgnme,comments
72.68412018,HO_0,60.71310043,1,HEADS,#
280.320282,HO_1,321.5151978,1,HEADS,#
85.25058746,HO_2,92.14749908,1,HEADS,#
40.24888992,HO_3,43.85229874,1,HEADS,#
1.388224959,HO_4,1.175500035,1,HEADS,#
2.667248964,HO_5,2.380500078,1,HEADS,#
52.8319931,HO_6,60.05469894,1,HEADS,#
157.9086609,HO_7,190.3092957,1,HEADS,#
46.63793182,HO_8,42.33060074,1,HEADS,#
43.28846741,HO_9,52.02170181,1,HEADS,#
39.91804886,HO_10,48.61050034,1,HEADS,#
37.54755402,HO_11,51.31380081,1,HEADS,#
27.58886147,HO_12,26.00440025,1,HEADS,#
13.11762905,HO_13,15.50819969,1,HEADS,#
326.9033813,HO_14,380.5397949,1,HEADS,#
22.12706184,HO_15,14.05739975,1,HEADS,#
41.7469101,HO_16,60.51520157,1,HEADS,#
-15.60229111,HO_17,6.116600037,1,HEADS,#
43.777668,HO_18,38.31340027,1,HEADS,#
41.14069366,HO_19,38.80099869,1,HEADS,#
20.65433311,HO_20,17.39459991,1,HEADS,#
30.51311684,HO_21,27.79470062,1,HEADS,#
23.53557014,HO_22,18.7147007,1,HEADS,#
17.72433281,HO_23,5.365499973,1,HEADS,#
17.08829689,HO_24,12.70189953,1,HEADS,#
16.64460373,HO_25,12.93379974,1,HEADS,#
16.8486824,HO_26,12.05599976,1,HEADS,#
16.77459526,HO_27,16.89850044,1,HEADS,#
18.67402458,HO_28,17.49080086,1,HEADS,#
17.56305122,HO_29,17.89640045,1,HEADS,#
24.34422493,HO_30,20.44669914,1,HEADS,#
37.33983612,HO_31,38.52560043,1,HEADS,#
44.06963348,HO_32,12.82600021,1,HEADS,#
43.92722702,HO_33,35.31570053,1,HEADS,#
43.34502029,HO_34,44.56809998,1,HEADS,#
43.6131134,HO_35,38.02320099,1,HEADS,#
4.626703262,HO_36,4.741499901,1,HEADS,#
15.4389801,HO_37,12.46930027,1,HEADS,#
127.465744,HO_38,131.8417969,1,HEADS,#
125.7734528,HO_39,125.1793976,1,HEADS,#
62.69496918,HO_40,64.10279846,1,HEADS,#
59.45740128,HO_41,58.27780151,1,HEADS,#
86.19049835,HO_42,95.89920044,1,HEADS,#
46.72014999,HO_43,44.52700043,1,HEADS,#
49.72120285,HO_44,57.99729919,1,HEADS,#
51.45573425,HO_45,52.44850159,1,HEADS,#
86.31394196,HO_46,86.34539795,1,HEADS,#
