name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KS_1,-0.0900085,1.92474,-3.93949,3.75948,-0.0760558,0.241183,-0.558421,0.40631
KS_10,0.247122,1.92474,-3.60236,4.09661,0.247198,1.92352,-3.59983,4.09423
KS_100,-5,1.92474,-8.84949,-1.15051,-5,0.796114,-6.59223,-3.40777
KS_101,-3.07402,1.92474,-6.92351,0.775465,-3.07394,1.92132,-6.91658,0.768701
KS_102,-4.09909,1.92474,-7.94857,-0.249602,-4.09905,1.92389,-7.94682,-0.251277
KS_103,-3.3589,1.92474,-7.20838,0.490588,-3.35941,1.92231,-7.20404,0.485215
KS_104,-5,1.92474,-8.84949,-1.15051,-5,1.88022,-8.76044,-1.23956
KS_106,-3.83823,1.92474,-7.68772,0.0112512,-3.8382,1.92389,-7.68597,0.00957585
KS_107,-3.50405,1.92474,-7.35353,0.345437,-3.50414,1.91062,-7.32538,0.317088
KS_108,0.637547,1.92474,-3.21194,4.48703,0.637271,1.92314,-3.209,4.48354
KS_11,-0.490698,1.92474,-4.34018,3.35879,-0.493226,1.66171,-3.81664,2.83019
KS_110,0.594602,1.92474,-3.25488,4.44409,0.593729,1.90097,-3.20821,4.39567
KS_112,0.496188,1.92474,-3.3533,4.34567,0.496788,1.90857,-3.32036,4.31393
KS_113,0.0269262,1.92474,-3.82256,3.87641,0.0210845,1.12115,-2.22122,2.26339
KS_114,0.889733,1.92474,-2.95975,4.73922,0.889783,0.588219,-0.286655,2.06622
KS_115,0.80789,1.92474,-3.04159,4.65738,0.808334,1.88511,-2.96189,4.57856
KS_116,-0.399165,1.92474,-4.24865,3.45032,-0.400685,1.67719,-3.75507,2.9537
KS_117,1.12743,1.92474,-2.72206,4.97691,1.12747,0.131217,0.865032,1.3899
KS_118,0.309221,1.92474,-3.54026,4.15871,0.308838,1.90742,-3.50601,4.12368
KS_12,0.951862,1.92474,-2.89762,4.80135,0.951898,1.92387,-2.89583,4.79963
KS_121,0.331828,1.92474,-3.51766,4.18131,0.332334,1.79247,-3.25261,3.91727
KS_122,1.58533,1.92474,-2.26415,5.43482,1.58572,1.50508,-1.42445,4.59589
KS_123,1.0499,1.92474,-2.79958,4.89939,1.04895,1.86549,-2.68203,4.77992
KS_124,0.302602,1.92474,-3.54688,4.15209,0.302595,1.9247,-3.54682,4.152
KS_125,2.69897,1.92474,-1.15051,6.54846,2.69319,1.2861,0.120995,5.26539
KS_126,2.69897,1.92474,-1.15051,6.54846,2.69897,1.92045,-1.14194,6.53988
KS_127,0.290414,1.92474,-3.55907,4.1399,0.287577,1.89256,-3.49754,4.0727
KS_128,0.5267,1.92474,-3.32279,4.37618,0.527063,1.13516,-1.74325,2.79738
KS_13,0.239501,1.92474,-3.60998,4.08899,0.230704,0.529558,-0.828411,1.28982
KS_130,1.1557,1.92474,-2.69379,5.00518,1.14754,1.79182,-2.4361,4.73119
KS_131,-3.69638,1.92474,-7.54587,0.1531,-3.69635,1.92389,-7.54412,0.151424
KS_133,-3.69466,1.92474,-7.54415,0.154821,-3.69472,1.92291,-7.54055,0.151098
KS_134,-1.58019,1.92474,-5.42967,2.2693,-1.58014,1.92389,-5.42792,2.26763
KS_135,-3.7994,1.92474,-7.64889,0.0500811,-3.79937,1.92389,-7.64714,0.0484067
KS_136,-3.53604,1.92474,-7.38552,0.313448,-3.536,1.91734,-7.37068,0.298684
KS_139,-3.64043,1.92474,-7.48991,0.209059,-3.64039,1.92389,-7.48816,0.207382
KS_14,0.657167,1.92474,-3.19232,4.50665,0.65698,1.92331,-3.18964,4.5036
KS_140,1.16228,1.92474,-2.6872,5.01177,1.16025,1.91891,-2.67757,4.99807
KS_141,-3.70371,1.92474,-7.5532,0.145771,-3.70368,1.92389,-7.55145,0.144095
KS_142,-3.6992,1.92474,-7.54869,0.15028,-3.69917,1.92389,-7.54694,0.148606
KS_143,-2.7586,1.92474,-6.60808,1.09089,-2.7586,1.92469,-6.60797,1.09077
KS_145,1.46296,1.92474,-2.38653,5.31244,1.4596,1.91915,-2.3787,5.2979
KS_148,0.778012,1.92474,-3.07147,4.6275,0.775951,1.91297,-3.04998,4.60188
KS_149,-3.57826,1.92474,-7.42775,0.271224,-3.57822,1.92389,-7.426,0.26955
KS_15,0.43493,1.92474,-3.41456,4.28441,0.43204,0.398884,-0.365728,1.22981
