parnme,partrans,parval1,pargp,comments
lak_cond_1,none,1.0,lak_cd,#
lak_cond_2,none,1.0,lak_cd,#
sfr_k_1,none,0.10000000894069672,sfr_ks,#
sfr_k_2,none,0.10000000894069672,sfr_ks,#
sfr_k_3,none,0.09200000762939453,sfr_ks,#
sfr_k_4,none,0.10000002384185791,sfr_ks,#
sfr_k_5,none,0.10000000894069672,sfr_ks,#
sfr_k_6,none,0.10000002384185791,sfr_ks,#
sfr_k_7,none,0.09999998658895493,sfr_ks,#
sfr_k_8,none,0.10000002384185791,sfr_ks,#
sfr_k_9,none,0.10000001639127731,sfr_ks,#
sfr_k_10,none,0.10000001639127731,sfr_ks,#
sfr_k_11,none,0.10000000894069672,sfr_ks,#
sfr_k_12,none,0.10000000894069672,sfr_ks,#
sfr_k_13,none,0.10000000149011612,sfr_ks,#
sfr_k_14,none,0.09887641668319702,sfr_ks,#
sfr_k_15,none,0.09999998658895493,sfr_ks,#
sfr_k_16,none,0.10000000894069672,sfr_ks,#
sfr_k_17,none,0.09864865988492966,sfr_ks,#
sfr_k_18,none,0.10000000894069672,sfr_ks,#
sfr_k_19,none,0.09999999403953552,sfr_ks,#
sfr_k_20,none,0.10000002384185791,sfr_ks,#
sfr_k_21,none,0.10000001639127731,sfr_ks,#
sfr_k_22,none,0.09966444224119186,sfr_ks,#
vks_1_1,none,0.00025118861231021583,uzf_vks,#
vks_1_10,none,0.00025118861231021583,uzf_vks,#
vks_1_11,none,0.00025118861231021583,uzf_vks,#
vks_1_12,none,0.00025118861231021583,uzf_vks,#
vks_1_13,none,0.00025118861231021583,uzf_vks,#
vks_1_14,none,0.0002511886414140463,uzf_vks,#
vks_1_15,none,0.0002511886414140463,uzf_vks,#
vks_1_16,none,0.0002511886414140463,uzf_vks,#
vks_1_17,none,0.00025118861231021583,uzf_vks,#
vks_1_18,none,0.0002511886414140463,uzf_vks,#
vks_1_19,none,0.00025118861231021583,uzf_vks,#
vks_1_2,none,0.00025118861231021583,uzf_vks,#
vks_1_21,none,0.00025118861231021583,uzf_vks,#
vks_1_3,none,0.0002511886414140463,uzf_vks,#
vks_1_4,none,0.00039810719317756593,uzf_vks,#
vks_1_5,none,0.00039810719317756593,uzf_vks,#
vks_1_6,none,0.00025118861231021583,uzf_vks,#
vks_1_8,none,0.00025118861231021583,uzf_vks,#
vks_1_9,none,0.00025118861231021583,uzf_vks,#
vks_2_1,none,0.00025118861231021583,uzf_vks,#
