time,elapsed_seconds,message
10:26:45,7.87e-05,PEST++ performance logger started
10:26:45,0.0006039,starting to process control file
10:26:45,0.0069159,finished processing control file
10:26:45,0.0193967,loading parcov
10:26:45,0.0088977,beginning iteration 1
10:26:45,0.0007228,commencing to build jacobian parameter sets
10:26:45,0.0388355,jacobian parameter sets built, commencing model runs
12:12:42,6357.26,jacobian runs complete, processing runs
12:12:42,0.0394142,processing jacobian runs complete
12:12:42,6.43e-05,saving jacobian and sen files
12:12:42,0.0106722,commencing calculation of upgrade vector
12:12:42,0.0029584,forming JtQJ matrix
12:12:42,0.0077775,commencing to scale JtQJ matrix- first SVD...
12:12:42,7.18e-05,starting REDSVD
12:12:45,2.25598,retrieving REDSVD components
12:12:45,0.0022255,triming REDSVD components to 120elements
12:12:45,0.0013027,done REDSVD
12:12:45,0.016796,S info: rows = 317: cols = 317: size = 100489: nonzeros = 297
12:12:45,5.71e-05,JS
12:12:45,0.0003303,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:12:45,0.0080925,S info: rows = 317: cols = 317: size = 100489: nonzeros = 297
12:12:45,5.47e-05,commencing SVD factorization of lambda-scaled JtQJ
12:12:45,1.58e-05,starting REDSVD
12:12:46,1.75242,retrieving REDSVD components
12:12:46,0.0030775,triming REDSVD components to 112elements
12:12:46,0.0013727,done REDSVD
12:12:46,0.0003529,SVD factorization complete
12:12:47,0.0296436,commencing linear algebra multiplication to compute ugrade
12:12:47,2.94e-05,S info: rows = 317: cols = 317: size = 100489: nonzeros = 297Vt info: rows = 112: cols = 317: size = 35504: nonzeros = 33264
12:12:47,1.37e-05,U info: rows = 317: cols = 112: size = 35504: nonzeros = 33264
12:12:47,1.19e-05,jac info: rows = 178: cols = 317: size = 56426: nonzeros = 7211
12:12:47,0.198626,linear algebra multiplication to compute ugrade complete
12:12:47,0.0009667,commencing check of parameter bounds and gradients
12:12:47,0.0022662,beginning upgrade vector calculations, lambda = 0.1
12:12:47,0.0001927,commencing calculation of upgrade vector
12:12:47,0.0028308,forming JtQJ matrix
12:12:47,0.0078643,commencing to scale JtQJ matrix- first SVD...
12:12:47,4.87e-05,starting REDSVD
12:12:48,1.17579,retrieving REDSVD components
12:12:48,0.0048968,triming REDSVD components to 120elements
12:12:48,0.0026529,done REDSVD
12:12:48,0.0374138,S info: rows = 317: cols = 317: size = 100489: nonzeros = 297
12:12:48,0.0001247,JS
12:12:48,0.0005255,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:12:48,0.0146033,S info: rows = 317: cols = 317: size = 100489: nonzeros = 297
12:12:48,6.44e-05,commencing SVD factorization of lambda-scaled JtQJ
12:12:48,1.17e-05,starting REDSVD
12:12:50,1.9544,retrieving REDSVD components
12:12:50,0.0083064,triming REDSVD components to 164elements
12:12:50,0.0044141,done REDSVD
12:12:50,0.0005582,SVD factorization complete
12:12:50,0.09679,commencing linear algebra multiplication to compute ugrade
12:12:50,3.4e-05,S info: rows = 317: cols = 317: size = 100489: nonzeros = 297Vt info: rows = 164: cols = 317: size = 51988: nonzeros = 48708
12:12:50,1.48e-05,U info: rows = 317: cols = 164: size = 51988: nonzeros = 48708
12:12:50,1.32e-05,jac info: rows = 178: cols = 317: size = 56426: nonzeros = 7211
12:12:50,0.153269,linear algebra multiplication to compute ugrade complete
12:12:50,0.0010097,commencing check of parameter bounds and gradients
12:12:50,0.0001063,commencing calculation of upgrade vector
12:12:50,0.0028634,forming JtQJ matrix
12:12:50,0.0079359,commencing to scale JtQJ matrix- first SVD...
12:12:50,4.55e-05,starting REDSVD
12:12:51,0.864419,retrieving REDSVD components
12:12:51,0.0034548,triming REDSVD components to 120elements
12:12:51,0.002214,done REDSVD
12:12:51,0.026462,S info: rows = 317: cols = 317: size = 100489: nonzeros = 297
12:12:51,7.35e-05,JS
12:12:51,0.0004372,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:12:51,0.0108748,S info: rows = 317: cols = 317: size = 100489: nonzeros = 297
12:12:51,0.0001658,commencing SVD factorization of lambda-scaled JtQJ
12:12:51,3.01e-05,starting REDSVD
12:12:53,1.75266,retrieving REDSVD components
12:12:53,0.006141,triming REDSVD components to 164elements
12:12:53,0.0033096,done REDSVD
12:12:53,0.0004092,SVD factorization complete
