name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ks_1,-0.0733276,1.92474,-3.92281,3.77616,0.377412,0.590842,-0.804272,1.5591
ks_10,0.246582,1.92474,-3.6029,4.09607,0.263498,1.92208,-3.58067,4.10767
ks_100,-5,2.17474,-9.34949,-0.650515,-4.18937,0.865387,-5.92014,-2.45859
ks_101,-3.07444,1.92474,-6.92393,0.775043,-3.15962,1.91764,-6.9949,0.675654
ks_102,-4.10073,2.17474,-8.45021,0.248758,-4.13104,2.17125,-8.47354,0.211459
ks_103,-3.36421,1.92474,-7.21369,0.485275,-3.46356,1.92009,-7.30374,0.376619
ks_104,-5,2.17474,-9.34949,-0.650515,-5.0141,2.17322,-9.36053,-0.667661
ks_105,-4.99568,2.17474,-9.34516,-0.646194,-5.00973,2.17321,-9.35616,-0.663305
ks_106,-3.83841,1.92474,-7.6879,0.0110746,-3.83863,1.92167,-7.68198,0.00472015
ks_107,-3.5071,1.92474,-7.35659,0.342382,-3.60104,1.9071,-7.41524,0.213166
ks_108,0.648601,1.92474,-3.20088,4.49809,0.652651,1.9245,-3.19634,4.50164
ks_109,0.855804,1.92474,-2.99368,4.70529,0.879498,1.92324,-2.96698,4.72597
ks_11,-0.513501,1.92474,-4.36299,3.33598,-0.458685,1.70391,-3.86651,2.94914
ks_110,0.591057,1.92474,-3.25843,4.44054,0.581321,1.92181,-3.26229,4.42493
ks_111,0.683327,1.92474,-3.16616,4.53281,0.949968,1.79449,-2.63901,4.53894
ks_112,0.501648,1.92474,-3.34784,4.35113,0.664827,1.83656,-3.00829,4.33794
ks_113,-0.995705,1.92474,-4.84519,2.85378,-1.1522,0.217103,-1.58641,-0.717998
ks_114,0.916144,1.92474,-2.93334,4.76563,0.989559,0.543061,-0.0965631,2.07568
ks_115,0.808699,1.92474,-3.04079,4.65818,0.830076,1.91533,-3.00058,4.66074
ks_116,-0.393246,1.92474,-4.24273,3.45624,-0.408683,1.75726,-3.9232,3.10583
ks_117,1.14226,1.92474,-2.70722,4.99175,1.1429,0.422277,0.298348,1.98746
ks_118,0.308198,1.92474,-3.54129,4.15768,0.297972,1.9157,-3.53342,4.12937
ks_119,1.01924,1.92474,-2.83025,4.86872,1.02847,1.89884,-2.7692,4.82615
ks_12,0.951704,1.92474,-2.89778,4.80119,0.967035,1.92474,-2.88245,4.81652
ks_120,-0.80022,1.92474,-4.6497,3.04927,-0.913607,1.72222,-4.35805,2.53083
ks_121,0.333692,1.92474,-3.51579,4.18318,0.362177,1.77687,-3.19157,3.91592
ks_122,1.59814,1.92474,-2.25135,5.44762,1.62604,1.72944,-1.83284,5.08492
ks_123,1.04673,1.92474,-2.80275,4.89622,0.985268,1.85148,-2.71769,4.68822
ks_124,0.302572,1.92474,-3.54691,4.15206,0.327011,1.9247,-3.52238,4.1764
ks_125,2.64905,1.92474,-1.20043,6.49854,1.4743,1.45225,-1.43021,4.3788
ks_126,2.69128,1.92474,-1.15821,6.54076,2.42333,1.89633,-1.36932,6.21599
ks_127,0.278221,1.92474,-3.57126,4.12771,-0.0321821,1.85999,-3.75216,3.68779
ks_128,0.537076,1.92474,-3.31241,4.38656,0.670847,1.19395,-1.71706,3.05875
ks_129,0.778353,1.92474,-3.07113,4.62784,0.81602,1.92205,-3.02808,4.66012
ks_13,0.22743,1.92474,-3.62206,4.07691,-0.139816,0.188211,-0.516238,0.236605
ks_130,1.12145,1.92474,-2.72803,4.97094,0.744962,1.86055,-2.97614,4.46606
ks_131,-3.69653,1.92474,-7.54601,0.15296,-3.69678,1.92118,-7.53914,0.145573
ks_132,-3.70083,1.92474,-7.55031,0.148659,-3.70116,1.91885,-7.53885,0.13654
ks_133,-3.69697,1.92474,-7.54646,0.152515,-3.69728,1.92099,-7.53925,0.144694
ks_134,-1.58016,1.92474,-5.42964,2.26933,-1.56541,1.92474,-5.41489,2.28408
ks_135,-3.79959,1.92474,-7.64908,0.049895,-3.7999,1.92155,-7.643,0.0431923
ks_136,-3.53818,1.92474,-7.38767,0.311302,-3.6131,1.91124,-7.43558,0.209387
ks_137,-2.38139,1.92474,-6.23087,1.4681,-2.41398,1.88675,-6.18747,1.35951
ks_138,0.808623,1.92474,-3.04086,4.65811,0.82867,1.91571,-3.00275,4.66009
ks_139,-3.64055,1.92474,-7.49004,0.208933,-3.64096,1.92095,-7.48286,0.200952
ks_14,0.656075,1.92474,-3.19341,4.50556,0.639096,1.92468,-3.21027,4.48846
ks_140,1.15983,1.92474,-2.68966,5.00931,1.17628,1.89923,-2.62218,4.97474
ks_141,-3.70386,1.92474,-7.55334,0.145628,-3.70277,1.85843,-7.41963,0.0140789
ks_142,-3.69934,1.92474,-7.54883,0.150141,-3.6997,1.92119,-7.54208,0.142673
ks_143,-2.76204,1.92474,-6.61153,1.08744,-2.85722,1.91478,-6.68677,0.972336
ks_144,0.00397043,1.92474,-3.84551,3.85346,0.0208007,1.92112,-3.82143,3.86303
ks_145,1.4682,1.92474,-2.38128,5.31769,1.46664,1.92185,-2.37706,5.31035
ks_146,0.758082,1.92474,-3.0914,4.60757,0.770848,1.92413,-3.07742,4.61911
ks_147,0.607333,1.92474,-3.24215,4.45682,0.352003,1.9103,-3.4686,4.17261
ks_148,0.775739,1.92474,-3.07375,4.62522,0.78784,1.92474,-3.06164,4.63732
ks_149,-3.57848,1.92474,-7.42797,0.271002,-3.57561,1.92067,-7.41695,0.26573
ks_15,0.433551,1.92474,-3.41593,4.28304,0.0654955,0.155926,-0.246356,0.377347
ks_150,0.859452,1.92474,-2.99003,4.70894,0.882532,1.92474,-2.96695,4.73202
ks_151,0.778673,1.92474,-3.07081,4.62816,0.79535,1.92474,-3.05413,4.64483
ks_152,-1.00476,1.92474,-4.85424,2.84473,-0.901144,1.92407,-4.74928,2.94699
ks_153,1.58345,1.92474,-2.26604,5.43293,1.6863,1.92018,-2.15406,5.52665
ks_154,1.74999,1.92474,-2.0995,5.59947,1.49229,1.89661,-2.30094,5.28552
ks_155,-3.71063,1.92474,-7.56011,0.138858,-3.75688,1.9214,-7.59967,0.0859194
ks_156,-0.731944,1.92474,-4.58143,3.11754,-0.73157,1.69973,-4.13103,2.66789
ks_157,-0.705202,1.92474,-4.55469,3.14428,-0.744379,1.44398,-3.63233,2.14357
ks_158,-0.202789,1.92474,-4.05227,3.6467,-0.19276,1.92403,-4.04083,3.65531
ks_159,-1.5723,1.92474,-5.42178,2.27719,-1.57657,1.92472,-5.42601,2.27288
ks_16,2.69072,1.92474,-1.15877,6.5402,2.37011,1.53006,-0.690013,5.43023
ks_160,0.02264,1.92474,-3.82684,3.87213,0.0408041,1.91589,-3.79098,3.87259
ks_161,2.55771,1.92474,-1.29178,6.40719,2.69897,1.51643,-0.333885,5.73182
ks_162,-0.729042,1.92474,-4.57853,3.12044,-0.706415,1.92433,-4.55507,3.14224
ks_163,-1.16305,1.92474,-5.01254,2.68643,-1.15608,1.92451,-5.00511,2.69295
ks_164,-1.26359,1.92474,-5.11308,2.58589,-1.24905,1.92455,-5.09815,2.60005
ks_165,0.797021,1.92474,-3.05246,4.64651,0.853373,1.89442,-2.93546,4.64221
