GageName,Gage ID,Include_aveFlow,Include_baseFlow,G1,G2,G3,G4,G5,G6,G7,Up Gage,Extrernal Flow
11461000,1,1,1,1,,,,,,,0,0
11461500,2,1,1,2,,,,,,,0,348095.9622
11462000,3,1,0,3,,,,,,,2,0
11462080,4,0,0,0,,,,,,,0,0
11462500,5,1,1,4,5,,,,,,"1,3",0
11463000,6,1,1,6,,,,,,,5,0
11463170,7,0,0,0,,,,,,,0,0
11463200,8,0,0,0,,,,,,,0,0
11463500,9,0,0,0,,,,,,,0,0
11463682,10,0,0,0,,,,,,,0,0
11463900,11,0,0,0,,,,,,,0,0
11463980,12,0,0,0,,,,,,,0,0
11464000,13,1,1,7,8,9,10,11,12,13,6,0
11465200,14,0,0,0,,,,,,,0,0
11465240,15,1,0,0,,,,,,,0,0
11465350,16,1,1,16,,,,,,,15,0
11465390,17,0,0,0,,,,,,,0,0
11467000,18,1,1,17,18,,,,,,"16,13",0
11467002,19,0,0,0,,,,,,,0,0
11467200,20,1,1,20,,,,,,,0,0
,21,0,0,0,,,,,,,0,0
,22,0,0,0,,,,,,,0,0
