simval,obsnme,obsval,weight,obgnme,comments
41.3622627258,HO_0,68.2502975464,1.0,HEADS,#
301.151397705,HO_1,314.629608154,1.0,HEADS,#
85.1558151245,HO_2,83.3996963501,1.0,HEADS,#
41.8724708557,HO_3,26.7285995483,1.0,HEADS,#
1.73083615303,HO_4,-4.59189987183,1.0,HEADS,#
3.2458050251,HO_5,-11.0349998474,1.0,HEADS,#
53.7006225586,HO_6,65.1354980469,1.0,HEADS,#
153.156311035,HO_7,173.466003418,1.0,HEADS,#
47.0195732117,HO_8,45.9676017761,1.0,HEADS,#
43.2012138367,HO_9,49.3246002197,1.0,HEADS,#
39.9132957458,HO_10,48.4550018311,1.0,HEADS,#
37.6398200989,HO_11,40.0979003906,1.0,HEADS,#
27.0042705536,HO_12,19.3255996704,1.0,HEADS,#
16.0001506805,HO_13,12.3366003036,1.0,HEADS,#
292.605957031,HO_14,324.889007568,1.0,HEADS,#
22.9715671539,HO_15,13.4949998856,1.0,HEADS,#
46.8146400452,HO_16,62.0402984619,1.0,HEADS,#
4.87952327728,HO_17,3.98280000687,1.0,HEADS,#
50.154964447,HO_18,24.3950004578,1.0,HEADS,#
42.0069541931,HO_19,37.435798645,1.0,HEADS,#
20.6522884369,HO_20,18.198600769,1.0,HEADS,#
29.0103054047,HO_21,39.1015014648,1.0,HEADS,#
24.4550857544,HO_22,15.4875001907,1.0,HEADS,#
16.2319965363,HO_23,14.4813995361,1.0,HEADS,#
14.9975185394,HO_24,12.5923995972,1.0,HEADS,#
15.0966396332,HO_25,11.5967998505,1.0,HEADS,#
15.2548065186,HO_26,10.7189998627,1.0,HEADS,#
18.9201850891,HO_27,11.2937002182,1.0,HEADS,#
22.817117691,HO_28,18.4356002808,1.0,HEADS,#
17.8225059509,HO_29,11.4598999023,1.0,HEADS,#
26.9123363495,HO_30,21.2189998627,1.0,HEADS,#
45.7444229126,HO_31,17.6492996216,1.0,HEADS,#
78.9065246582,HO_32,10.0888996124,1.0,HEADS,#
47.0653266907,HO_33,31.2621002197,1.0,HEADS,#
44.902130127,HO_34,47.2574996948,1.0,HEADS,#
51.4865264893,HO_35,39.2464981079,1.0,HEADS,#
9.75436496735,HO_36,-1.40929996967,1.0,HEADS,#
