name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
FINF_1,0.483035,0.2475,-0.0119647,0.978035,0.483035,0.00642452,0.470186,0.495884
FINF_10,0.472505,0.2475,-0.0224953,0.967505,0.472506,0.241573,-0.010641,0.955653
FINF_11,0.472505,0.2475,-0.0224953,0.967505,0.472508,0.238644,-0.0047806,0.949796
FINF_12,0.472505,0.2475,-0.0224953,0.967505,0.472503,0.238617,-0.00473032,0.949736
FINF_13,0.472505,0.2475,-0.0224954,0.967505,0.472505,0.24747,-0.0224344,0.967445
FINF_14,0.483035,0.2475,-0.0119647,0.978035,0.483046,0.246429,-0.00981253,0.975904
FINF_15,0.483035,0.2475,-0.0119647,0.978035,0.483034,0.247408,-0.0117811,0.977849
FINF_16,0.483035,0.2475,-0.0119647,0.978035,0.483035,0.244097,-0.00515804,0.971228
FINF_17,0.483035,0.2475,-0.0119647,0.978035,0.483041,0.246889,-0.0107359,0.976818
FINF_18,0.483035,0.2475,-0.0119647,0.978035,0.483055,0.242613,-0.00217135,0.968281
FINF_19,0.483035,0.2475,-0.0119647,0.978035,0.483035,0.247485,-0.0119356,0.978006
FINF_2,0.483035,0.2475,-0.0119647,0.978035,0.483035,0.104115,0.274805,0.691266
FINF_20,0.528462,0.2475,0.0334619,1.02346,0.528462,0.0136642,0.501134,0.55579
FINF_21,0.483035,0.2475,-0.0119647,0.978035,0.483035,0.247362,-0.0116884,0.977759
FINF_22,0.483035,0.2475,-0.0119647,0.978035,0.48301,0.229341,0.0243291,0.941692
FINF_3,0.483035,0.2475,-0.0119647,0.978035,0.483035,0.24376,-0.004485,0.970555
FINF_4,0.41058,0.2475,-0.08442,0.90558,0.410571,0.199145,0.0122821,0.808861
FINF_5,0.41058,0.2475,-0.08442,0.90558,0.410576,0.206607,-0.00263821,0.823791
FINF_6,0.483035,0.2475,-0.0119647,0.978035,0.483035,0.145706,0.191624,0.774447
FINF_7,0.472505,0.2475,-0.0224953,0.967505,0.472505,0.246416,-0.0203266,0.965337
FINF_8,0.472505,0.2475,-0.0224953,0.967505,0.472507,0.222701,0.027106,0.917909
FINF_9,0.472505,0.2475,-0.0224954,0.967505,0.472507,0.225799,0.0209087,0.924106
KS_1,-0.0900085,1.92474,-3.93949,3.75948,-0.0815863,0.920538,-1.92266,1.75949
KS_10,0.247122,1.92474,-3.60236,4.09661,0.247122,1.92474,-3.60235,4.0966
KS_100,-4.99999,1.92474,-8.84948,-1.15051,-4.99996,1.36506,-7.73008,-2.26983
KS_101,-3.07402,1.92474,-6.92351,0.775465,-3.07402,1.92474,-6.92351,0.775464
KS_102,-4.0989,1.92474,-7.94839,-0.249416,-4.0989,1.91434,-7.92759,-0.270212
KS_103,-3.3589,1.92474,-7.20838,0.490588,-3.3589,1.92371,-7.20632,0.488527
KS_104,-5,1.92474,-8.84948,-1.15051,-5,1.9086,-8.81719,-1.18281
KS_105,-4.99428,1.92474,-8.84376,-1.14479,-4.99428,1.92468,-8.84365,-1.14491
KS_106,-3.83823,1.92474,-7.68772,0.0112512,-3.83823,1.92474,-7.68772,0.0112512
KS_107,-3.50405,1.92474,-7.35353,0.345437,-3.50405,1.91806,-7.34016,0.332069
KS_108,0.637547,1.92474,-3.21194,4.48703,0.637547,1.92455,-3.21156,4.48666
KS_109,0.838043,1.92474,-3.01144,4.68753,0.838042,1.90144,-2.96484,4.64093
KS_11,-0.490698,1.92474,-4.34018,3.35879,-0.490695,1.84021,-4.17111,3.18972
KS_110,0.594602,1.92474,-3.25488,4.44409,0.5946,1.92359,-3.25258,4.44178
KS_111,0.685636,1.92474,-3.16385,4.53512,0.685631,1.74534,-2.80504,4.1763
KS_112,0.496188,1.92474,-3.3533,4.34567,0.496213,1.91348,-3.33074,4.32317
KS_113,0.0269262,1.92474,-3.82256,3.87641,0.0269216,1.62811,-3.22929,3.28314
KS_114,0.889733,1.92474,-2.95975,4.73922,0.889732,1.00873,-1.12772,2.90719
KS_115,0.80789,1.92474,-3.04159,4.65738,0.80789,1.91185,-3.01582,4.6316
KS_116,-0.399165,1.92474,-4.24865,3.45032,-0.399166,1.81568,-4.03052,3.23219
KS_117,1.12743,1.92474,-2.72206,4.97691,1.12743,0.915466,-0.703506,2.95836
KS_118,0.309221,1.92474,-3.54026,4.15871,0.309221,1.9154,-3.52157,4.14002
KS_119,1.01936,1.92474,-2.83012,4.86885,1.01936,1.89102,-2.76269,4.80141
KS_12,0.951862,1.92474,-2.89762,4.80135,0.951862,1.92474,-2.89762,4.80135
KS_120,-0.795898,1.92474,-4.64538,3.05359,-0.795902,1.59368,-3.98326,2.39146
KS_121,0.331828,1.92474,-3.51766,4.18131,0.331829,1.82157,-3.31131,3.97497
KS_122,1.58533,1.92474,-2.26415,5.43482,1.58533,1.71833,-1.85134,5.022
KS_123,1.0499,1.92474,-2.79958,4.89939,1.0499,1.89466,-2.73941,4.83922
KS_124,0.302602,1.92474,-3.54688,4.15209,0.302602,1.91432,-3.52604,4.13125
KS_125,2.69897,1.92474,-1.15051,6.54846,2.69897,1.82014,-0.941307,6.33925
KS_126,2.69897,1.92474,-1.15051,6.54846,2.69897,1.92378,-1.14859,6.54653
KS_127,0.290414,1.92474,-3.55907,4.1399,0.290444,1.91539,-3.54033,4.12122
KS_128,0.5267,1.92474,-3.32279,4.37618,0.5267,1.52363,-2.52055,3.57395
KS_129,0.777639,1.92474,-3.07185,4.62712,0.777639,1.9143,-3.05096,4.60624
KS_13,0.239501,1.92474,-3.60998,4.08899,0.239558,1.05514,-1.87073,2.34985
KS_130,1.1557,1.92474,-2.69379,5.00518,1.15569,1.82656,-2.49743,4.80881
KS_131,-3.69638,1.92474,-7.54587,0.1531,-3.69638,1.92474,-7.54585,0.153086
KS_132,-3.69858,1.92474,-7.54806,0.150906,-3.69858,1.92467,-7.54791,0.150752
KS_133,-3.69466,1.92474,-7.54415,0.154821,-3.69466,1.92471,-7.54409,0.154761
KS_134,-1.58019,1.92474,-5.42967,2.2693,-1.58019,1.92474,-5.42967,2.26929
KS_135,-3.7994,1.92474,-7.64889,0.0500818,-3.7994,1.92474,-7.64888,0.0500739
KS_136,-3.53604,1.92474,-7.38552,0.313448,-3.53604,1.91161,-7.35926,0.287181
KS_137,-2.37772,1.92474,-6.2272,1.47177,-2.37772,1.92184,-6.2214,1.46597
KS_138,0.799706,1.92474,-3.04978,4.64919,0.799706,1.91422,-3.02874,4.62815
KS_139,-3.64043,1.92474,-7.48991,0.209058,-3.64043,1.92474,-7.48991,0.209058
KS_14,0.657167,1.92474,-3.19232,4.50665,0.657166,1.92427,-3.19137,4.5057
KS_140,1.16228,1.92474,-2.6872,5.01177,1.16228,1.92435,-2.68642,5.01099
KS_141,-3.70372,1.92474,-7.5532,0.14577,-3.70372,1.92474,-7.5532,0.145769
KS_142,-3.6992,1.92474,-7.54869,0.150281,-3.6992,1.92474,-7.54869,0.150282
KS_143,-2.7586,1.92474,-6.60808,1.09089,-2.7586,1.9247,-6.60799,1.0908
KS_144,0.00425596,1.92474,-3.84523,3.85374,0.00425618,1.89953,-3.79481,3.80332
KS_145,1.46296,1.92474,-2.38653,5.31244,1.46296,1.92463,-2.38631,5.31223
KS_146,0.758452,1.92474,-3.09103,4.60794,0.758452,1.92343,-3.0884,4.60531
KS_147,0.608788,1.92474,-3.2407,4.45827,0.608788,1.92474,-3.2407,4.45827
KS_148,0.778012,1.92474,-3.07147,4.6275,0.778012,1.91423,-3.05046,4.60648
KS_149,-3.57826,1.92474,-7.42775,0.271224,-3.57826,1.92474,-7.42773,0.271209
KS_15,0.43493,1.92474,-3.41456,4.28441,0.434923,0.795896,-1.15687,2.02672
KS_150,0.85868,1.92474,-2.99081,4.70816,0.85868,1.91439,-2.97009,4.68745
KS_151,0.778577,1.92474,-3.07091,4.62806,0.778577,1.92474,-3.07091,4.62806
KS_152,-1.01077,1.92474,-4.86026,2.83871,-1.01077,1.90221,-4.81518,2.79364
KS_153,1.56963,1.92474,-2.27986,5.41911,1.56964,1.83917,-2.10871,5.24799
KS_154,1.75259,1.92474,-2.09689,5.60208,1.75259,1.91434,-2.07608,5.58127
KS_155,-3.70827,1.92474,-7.55776,0.141214,-3.70827,1.91405,-7.53636,0.119821
KS_156,-0.732786,1.92474,-4.58227,3.1167,-0.732786,1.75232,-4.23742,2.77185
KS_157,-0.718995,1.92474,-4.56848,3.13049,-0.718998,1.37078,-3.46056,2.02256
KS_158,-0.204177,1.92474,-4.05366,3.64531,-0.204178,1.92436,-4.05289,3.64453
KS_159,-1.57221,1.92474,-5.4217,2.27727,-1.57221,1.92448,-5.42118,2.27676
KS_16,2.69897,1.92474,-1.15051,6.54846,2.69897,1.91995,-1.14093,6.53886
KS_160,0.0130104,1.92474,-3.83647,3.8625,0.0130126,1.90673,-3.80046,3.82648
KS_161,2.44756,1.92474,-1.40193,6.29704,2.44759,1.35021,-0.252833,5.14801
KS_162,-0.72894,1.92474,-4.57842,3.12055,-0.72894,1.91005,-4.54904,3.09116
KS_163,-1.16244,1.92474,-5.01193,2.68704,-1.16244,1.92459,-5.01162,2.68673
KS_164,-1.26336,1.92474,-5.11285,2.58612,-1.26336,1.92462,-5.1126,2.58588
KS_165,0.793435,1.92474,-3.05605,4.64292,0.793435,1.79369,-2.79394,4.38081
KS_166,-1.80547,1.92474,-5.65495,2.04402,-1.80547,1.91423,-5.63392,2.02298
KS_167,-1.42039,1.92474,-5.26988,2.42909,-1.4204,1.92328,-5.26695,2.42616
KS_168,-0.901611,1.92474,-4.7511,2.94787,-0.901621,1.65547,-4.21257,2.40933
KS_169,-3.57936,1.92474,-7.42884,0.270127,-3.57936,1.9182,-7.41576,0.257045
KS_17,0.222606,1.92474,-3.62688,4.07209,0.222606,1.91438,-3.60615,4.05136
KS_170,-2.69168,1.92474,-6.54116,1.15781,-2.69168,1.91434,-6.52037,1.13701
KS_171,0.037004,1.92474,-3.81248,3.88649,0.0370039,1.92455,-3.8121,3.88611
KS_172,-1.71675,1.92474,-5.56623,2.13274,-1.71675,1.92469,-5.56613,2.13263
KS_173,-2.09687,1.92474,-5.94636,1.75261,-2.09687,1.92464,-5.94615,1.7524
KS_174,0.766779,1.92474,-3.08271,4.61626,0.766779,1.92474,-3.08271,4.61626
KS_175,-0.902482,1.92474,-4.75197,2.947,-0.902482,1.92474,-4.75197,2.947
KS_176,-2.34262,1.92474,-6.1921,1.50687,-2.34262,1.9246,-6.19182,1.50658
KS_177,0.0447936,1.92474,-3.80469,3.89428,0.0447936,1.92411,-3.80342,3.89301
KS_178,-3.69719,1.92474,-7.54668,0.152292,-3.69719,1.92474,-7.54668,0.152292
KS_179,0.316114,1.92474,-3.53337,4.1656,0.316103,1.7276,-3.13911,3.77131
KS_18,0.40259,1.92474,-3.44689,4.25208,0.402592,1.91428,-3.42598,4.23116
KS_180,-4.71928,1.92474,-8.56876,-0.869793,-4.71928,1.92371,-8.5667,-0.871855
KS_181,-0.501248,1.92474,-4.35073,3.34824,-0.501254,1.65579,-3.81283,2.81032
KS_182,0.686011,1.92474,-3.16347,4.5355,0.686011,1.92474,-3.16346,4.53548
KS_183,-0.0164741,1.92474,-3.86596,3.83301,-0.0164741,1.91434,-3.84516,3.81221
KS_184,-3.39416,1.92474,-7.24365,0.455323,-3.39416,1.58176,-6.55768,-0.23064
KS_185,-4.01958,1.92474,-7.86907,-0.170097,-4.01958,1.92474,-7.86907,-0.170097
KS_186,-4.00763,1.92474,-7.85711,-0.158143,-4.00763,1.91434,-7.83632,-0.178939
KS_187,-3.96102,1.92474,-7.8105,-0.111532,-3.96102,1.92474,-7.81049,-0.111546
KS_188,-3.40486,1.92474,-7.25435,0.444624,-3.40486,1.92472,-7.2543,0.444576
KS_189,-3.94951,1.92474,-7.799,-0.100028,-3.94951,1.91459,-7.77869,-0.120336
KS_19,1.65054,1.92474,-2.19895,5.50002,1.65054,1.92474,-2.19894,5.50002
KS_190,-5,1.92474,-8.84948,-1.15051,-5,1.89397,-8.78793,-1.21206
KS_191,-3.9959,1.92474,-7.84539,-0.146416,-3.9959,1.92474,-7.84539,-0.146416
KS_192,-3.8904,1.92474,-7.73988,-0.0409111,-3.8904,1.92474,-7.73987,-0.0409213
KS_193,-5,1.92474,-8.84949,-1.15051,-5,1.87356,-8.74712,-1.25288
KS_194,-4.99756,1.92474,-8.84705,-1.14808,-4.99758,1.91112,-8.81983,-1.17534
