,iseg,ireach,up_or_down,strtop_up,strtop_down,strtop_diff
0,24.0,10.0,downstream,287.940002441,309.070007324,-21.130004883000026
1,38.0,1.0,downstream,263.46229999999997,265.384106714,-1.921806714000013
2,94.0,1.0,downstream,176.1222,177.086649397,-0.9644493970000099
3,97.0,5.0,downstream,175.016642073,176.600006104,-1.5833640309999737
4,102.0,3.0,downstream,172.062001017,174.919998169,-2.857997151999996
5,114.0,1.0,downstream,165.8478,166.169998169,-0.3221981689999893
6,153.0,2.0,downstream,143.012800916,143.25,-0.23719908399999667
7,169.0,3.0,downstream,168.660003662,326.0,-157.339996338
8,228.0,5.0,downstream,83.8790961638,84.43154432380001,-0.5524481600000115
9,242.0,5.0,downstream,124.919998169,218.210006714,-93.290008545
10,246.0,11.0,downstream,123.919998169,475.549987793,-351.629989624
11,278.0,3.0,downstream,55.926558355299996,56.0985391181,-0.17198076280000407
12,358.0,2.0,downstream,35.8305970919,37.9300003052,-2.0994032132999934
13,372.0,5.0,downstream,16.4463972729,16.6072389576,-0.16084168469999938
