,obsname,well_id,num_meas,min,max,mean,std,median,grid_top_elev,grid_bot_elev,layer,row,col
0,HO_0,007N010W10H001M,1,68.2503104741211,68.2503104741211,68.2503104741211,0.0,68.2503104741211,71.8499984741211,-3.1500015258789062,1,346,128
1,HO_1,007N010W28P001M,1,314.6296173515625,314.6296173515625,314.6296173515625,0.0,314.6296173515625,319.8599853515625,244.8599853515625,1,365,121
2,HO_2,383971N1228879W001,9,81.68944366210937,84.88984366210937,83.39971032877604,1.1789492077646502,83.54872366210938,101.41000366210938,41.410003662109375,1,372,146
3,HO_3,384387N1229005W001,9,6.970798474121089,42.78479847412109,26.728611807454424,13.997373982185216,29.00783847412109,50.099998474121094,-19.900001525878906,0,357,142
4,HO_4,384563N1230535W001,955,-5.389993605960465,-0.26417200596046453,-4.591881348787689,0.7031060233910447,-4.8230656059604655,0.3499999940395355,-155.75,0,350,98
5,HO_5,384773N1229923W001,14,-13.220439980926514,-10.626591980926515,-11.035023980926512,0.630479370993215,-10.846047980926514,1.7300000190734863,-78.2699966430664,1,343,115
6,HO_6,006N009W05G001M,1,65.13554125341797,65.13554125341797,65.13554125341797,0.0,65.13554125341797,74.87999725341797,-15.120002746582031,1,373,148
7,HO_7,383588N1228706W001,9,172.7819218310547,174.2449618310547,173.46602849772137,0.44219025930274236,173.5439218310547,199.3300018310547,124.33000183105469,1,386,151
8,HO_8,383998N1228713W001,9,43.315841678466796,48.1926416784668,45.9676016784668,2.0037106793147563,46.3028816784668,53.7400016784668,-84.65999603271484,0,371,151
9,HO_9,384111N1228448W001,8,47.655840457763674,51.37440045776367,49.32462045776367,1.129277829942658,49.195080457763666,54.27000045776367,-215.72999572753906,1,367,158
10,HO_10,384351N1228597W001,9,45.000562441406245,63.28856244140625,48.45496244140625,5.323316462807749,46.64648244140625,67.19000244140625,-103.90999603271484,1,358,154
11,HO_11,384505N1228683W001,8,38.372000915527344,41.420000915527346,40.09793091552734,1.0091754356404055,40.444640915527344,49.040000915527344,-119.26000213623047,1,352,151
12,HO_12,009N009W20E002M,49,18.4976791607666,21.3018391607666,19.32561548729721,0.4674056251383754,19.3511191607666,25.6299991607666,-64.37000274658203,0,292,146
13,HO_13,008N009W20N001M,1,12.336624,12.336624,12.336624,0.0,12.336624,17.25,-52.75,1,328,146
14,HO_14,009N010W34M001M,1,324.8889629863281,324.8889629863281,324.8889629863281,0.0,324.8889629863281,362.2300109863281,287.2300109863281,2,303,124
15,HO_15,008N011W27N001M,1,13.494975389648438,13.494975389648438,13.494975389648438,0.0,13.494975389648438,18.639999389648438,-75.09147644042969,0,333,93
16,HO_16,386493N1228910W001,14,60.241718779296875,62.80508677929687,62.04025649358258,0.5873579992663788,62.04308677929687,65.52999877929688,-204.47000122070312,1,279,145
17,HO_17,385004N1229008W001,2367,-0.1831201525878896,14.01446384741211,3.982769581252413,2.196876084834679,3.5659198474121077,17.15999984741211,-114.54000091552734,0,336,143
18,HO_18,009N008W17L001M,1,24.39495954223633,24.39495954223633,24.39495954223633,0.0,24.39495954223633,49.47999954223633,-197.6199951171875,1,288,179
19,HO_19,009N008W19A001M,1,37.43583923706055,37.43583923706055,37.43583923706055,0.0,37.43583923706055,44.04999923706055,-25.950000762939453,0,290,176
20,HO_20,008N009W22E001M,45,9.185999389648437,21.865679389648438,18.198596722981772,2.383457371062652,17.44607938964844,22.139999389648438,-214.4600067138672,1,324,157
21,HO_21,009N009W22M001M,1,39.10151077929687,39.10151077929687,39.10151077929687,0.0,39.10151077929687,44.529998779296875,-30.470001220703125,2,292,156
22,HO_22,009N009W21R001M,1,15.487519618530273,15.487519618530273,15.487519618530273,0.0,15.487519618530273,23.899999618530273,-246.10000610351562,1,294,155
23,HO_23,385214N1228597W001,1786,13.410487084472656,21.173743084472655,14.481374408100876,0.9207125040803982,14.112593884472656,22.459999084472656,-148.24000549316406,0,326,154
24,HO_24,385320N1228578W001,1939,11.57041584741211,19.51045584741211,12.592351613889674,0.9874921708426097,12.277856647412108,18.90999984741211,-134.58999633789062,1,322,154
25,HO_25,385363N1228583W001,1554,10.843409676293945,16.451424876293945,11.596794859305529,1.0300284975995868,11.136017676293946,18.920000076293945,-136.17999267578125,0,321,154
26,HO_26,385363N1228583W002,1763,8.526320076293944,15.817136076293945,10.719014797110736,1.3144170370778618,10.595912076293946,18.920000076293945,-136.17999267578125,1,321,154
27,HO_27,385607N1228573W001,74,9.958296457763671,14.768040457763671,11.293732349655563,1.0730056751583072,10.793448457763672,19.020000457763672,-50.97999954223633,0,312,155
28,HO_28,385678N1228595W001,88,16.876664686645505,21.73822468664551,18.435612777554596,1.0132990399909285,18.03795268664551,25.280000686645508,-44.720001220703125,0,309,154
29,HO_29,385679N1228529W001,87,8.361519465942381,15.152463465942382,11.459899052149279,1.071461098910092,11.062047465942383,19.059999465942383,-50.94000244140625,0,309,156
30,HO_30,385921N1228697W001,40,19.313200000000002,23.79376,21.218961999999998,0.6144947725050227,21.17248,28.0,-91.69999694824219,0,300,151
31,HO_31,386426N1228818W001,16,15.614374474121092,19.372558474121085,17.64929547412109,1.0434592591984602,17.68091847412109,59.849998474121094,-163.85000610351562,1,281,147
