year,StreamOut_Q_base,HortSroff2Stream_Q_base,DunnSroff2Stream_Q_base,Interflow2Stream_Q_base,Stream2Unsat_Q_base,StreamExchng2Sat_Q_base,Precip_Q_base,NetBoundaryFlow2Sat_Q_base,NetWellFlow_Q_base,BoundaryStreamFlow_Q_base,CanopyEvap_Q_base,SnowEvap_Q_base,ImpervEvap_Q_base,DprstEvap_Q_base,CapET_Q_base,SwaleEvap_Q_base,UnsatET_Q_base,SatET_Q_base,LakeEvap_Q_base,DunnInterflow2Lake_Q_base,HortSroff2Lake_Q_base,Lake2Unsat_Q_base,LakeExchng2Sat_Q_base,SoilDrainage2Unsat_Q_base,Sat2Grav_Q_base,RechargeUnsat2Sat_Q_base,Infil2Soil_Q_base,Canopy_S_base,SnowPweqv_S_base,Imperv_S_base,Dprst_S_base,Cap_S_base,Grav_S_base,Unsat_S_base,Sat_S_base,UnsatStream_S_base,Lake_S_base,Stream_S_base,StreamOut_Q_unimp,HortSroff2Stream_Q_unimp,DunnSroff2Stream_Q_unimp,Interflow2Stream_Q_unimp,Stream2Unsat_Q_unimp,StreamExchng2Sat_Q_unimp,Precip_Q_unimp,NetBoundaryFlow2Sat_Q_unimp,NetWellFlow_Q_unimp,BoundaryStreamFlow_Q_unimp,CanopyEvap_Q_unimp,SnowEvap_Q_unimp,ImpervEvap_Q_unimp,DprstEvap_Q_unimp,CapET_Q_unimp,SwaleEvap_Q_unimp,UnsatET_Q_unimp,SatET_Q_unimp,LakeEvap_Q_unimp,DunnInterflow2Lake_Q_unimp,HortSroff2Lake_Q_unimp,Lake2Unsat_Q_unimp,LakeExchng2Sat_Q_unimp,SoilDrainage2Unsat_Q_unimp,Sat2Grav_Q_unimp,RechargeUnsat2Sat_Q_unimp,Infil2Soil_Q_unimp,Canopy_S_unimp,SnowPweqv_S_unimp,Imperv_S_unimp,Dprst_S_unimp,Cap_S_unimp,Grav_S_unimp,Unsat_S_unimp,Sat_S_unimp,UnsatStream_S_unimp,Lake_S_unimp,Stream_S_unimp
1990,1645091675.0,44446436.305804856,35680931.27194,608808297.3,0.0,-749841738.3,2008421276.07,846962023.0,-80301607.5,289925579.68,26870643.534477785,13724.469847,1669900.6897500856,1591932.4327,1551258581.6,0.0,2325748.32374,91242613.5185,22448715.406,6868938.6171,167077.3176238034,0.0,56720780.88,213008918.17,368194356.2,247772416.4,1926986802.307317,193888.01151071233,291553.1349769863,1852.8418601806218,1797049.219780822,370081560.2191781,22880704.298630137,220677537.80821916,24868892191.780823,0.0,289701570.9589041,0.0,1523262771.0,40898813.48028784,34653932.37094,605870110.2,0.0,-759867401.6,2008421276.07,820467059.0,0.0,0.0,26870643.534477785,13724.469847,1656137.125146855,1496871.6112,1547585707.9,0.0,2324482.81322,93624138.1222,22448715.406,5386533.9808,163048.25016413,0.0,-38024954.819,211285198.04,363591481.7,246795145.4,1924693673.1143,193888.01151071233,291553.1349769863,1849.0080246036002,284501.93156164384,369450025.5068493,22737057.783561643,219489029.31506848,24842679780.82192,0.0,403746.5128767123,0.0
1991,1933670601.0,56386984.9265,57226967.71,876861385.7,0.0,-709106410.6,2723104949.82,845540312.0,-81210613.3,327214002.43,24596454.59142995,631.302115,1647151.78197,1604841.351,1421327634.9,0.0,1999547.0174,78604257.4041,21951815.604,17602848.591000002,217148.7865414796,0.0,65544449.2,273267017.04,377081339.0,197352462.8,2631592405.3080997,187639.13159944655,24346.117499726024,1465.58771424223,2702590.6063013696,334161341.2876712,21880126.183561645,278686312.05479455,24677885534.246574,0.0,327609131.7808219,0.0,1711412123.0,50787646.23822221,55727869.629999995,866640038.3,0.0,-717407801.77,2723104949.82,818438306.0,0.0,0.0,24596454.59142995,631.302115,1621693.7719293018,1872471.7018,1416268416.1,0.0,2013080.96151,81555115.4677,21951815.604,14975229.5188,209088.8306188,0.0,-10631047.706,269551147.65,368408987.0,193865482.8,2628064370.7629,187639.13159944655,24346.117499726024,1463.2589923644218,519024.10575342464,333176790.8767123,21556340.23287671,277987556.7123288,24634526136.9863,0.0,395375.6591780822,0.0
1992,2343553960.0,81986711.14,63006261.269999996,1142165693.0,0.0,-679142404.15,3454809619.2,844968340.0,-80459915.4,423737964.9,28836302.958901927,4891.580537,2108531.3293479998,1679348.4365,1571919117.5,0.0,2431351.97547,78913424.9652,23316830.252,21447969.64,334809.9640134284,0.0,62963189.1,415791118.14,388351058.5,295802778.3,3319986966.818,239643.90535412022,311330.85189043713,1943.6045476370005,2974801.1185792354,393518276.2295082,35793532.04644809,357872598.08743167,24570258469.945354,0.0,335482044.8087432,0.0,1970910748.0,76341189.5142717,61476756.32,1127103791.7,0.0,-684538291.9,3454809619.2,819177664.0,0.0,0.0,28836302.958901927,4891.580537,2083464.153628192,2017284.7658,1566322761.6,0.0,2447541.13597,81753782.941,23316830.252,17872746.2601,326248.64648771,0.0,-8727917.32,409887704.19,377322363.6,289956134.0,3315975958.4953,239643.90535412022,311330.85189043713,1940.0282704706235,750211.0702185791,392581310.5191257,35297282.568306014,357445657.92349726,24521435327.86885,0.0,419019.8259562842,0.0
1993,3341867761.0,90179327.647882,100305663.17,1743338634.4,0.0,-767451931.75,3744343973.86,835399576.0,-76414410.8,619197154.66,33125865.68199445,12071.88392,2477737.079437,1912168.8426,1763239318.9,0.0,2591342.282,73204847.3119,21881111.963,33914635.307000004,342328.6544475455,0.0,54905181.64,550238938.47,428762715.0,507793971.7,3611994171.622,280179.96494649316,1385786.408069041,2393.739178133126,3891910.7479452053,464248740.82191783,54764428.63561644,475131628.2191781,24641867589.041096,0.0,306489687.94520545,0.0,2747105002.0,84268212.75410305,98854170.74,1732003514.6,0.0,-768847683.8,3744343973.86,810915322.0,0.0,0.0,33125865.68199445,12071.88392,2451596.25849658,2490609.515,1758946794.7,0.0,2611950.7668,76111582.8712,21881111.963,30441890.7593,333883.32493422,0.0,-10119407.1383,545766321.91,418045421.0,503191739.2,3607681541.74932,280179.96494649316,1385786.408069041,2389.465893924085,1847581.2136986302,463525083.2876712,54371846.2,475250797.53424656,24593806438.356163,0.0,502108.1668493151,0.0
1994,1969504955.0,63257196.692,47608841.57,893953461.0,0.0,-705887286.25,2732022270.34,842875237.0,-83705231.6,292168338.0,32230040.74144606,15664.02231,1914558.541503,1709964.0184,1457616792.8,0.0,2050873.4028,73547295.8393,22166678.888,13746425.135,227037.7415883808,0.0,57212796.5,359996793.04,396010331.0,298319936.4,2624969893.549,247042.44291484385,75815.68983232878,2912.2347764170117,3291781.3315068493,427166291.9726027,33027810.761643834,471650824.10958904,24537064684.931507,0.0,299830421.0958904,0.0,1761434149.0,57865639.54556528,46180905.02,881637176.7,0.0,-701213170.15,2732022270.34,814933825.0,0.0,0.0,32230040.74144606,15664.02231,1890639.7481800371,2249872.9102,1452319882.7,0.0,2047190.8889,76917778.2114,22166678.888,10552345.9528,219668.61620763,0.0,-11085046.9962,353869243.54,386317985.7,292917876.1,2620951009.5099,247042.44291484385,75815.68983232878,2908.0447430312574,1582277.330958904,426229086.27397263,32480018.079452056,471186699.17808217,24491977534.246574,0.0,411600.0717808219,0.0
1995,4940308479.0,148703947.913089,262861939.57,3008652691.7,0.0,-790815812.25,5593839076.54,831050418.0,-81476847.0,722137569.77,32193447.465965785,12739.77582628,2686351.247908,1981482.1413,1656177242.4,0.0,2708086.6004,83339098.5257,22168217.467,65928960.646,624657.988023776,0.0,59267693.2,743079453.79,460931617.0,707448694.8,5383029642.43587,293582.7872321918,181541.24117150684,2172.112446370411,4320969.860273972,453252712.3287671,69579212.50136986,585383263.5616438,24704613589.041096,0.0,340582206.5753425,0.0,4298959667.0,142528966.69602415,260917933.94,2997076569.3,0.0,-789260921.7,5593839076.54,804791649.0,0.0,0.0,32193447.465965785,12739.77582628,2662428.8874728074,2632925.8523,1651970161.3,0.0,2710364.4161,86938093.3002,22168217.467,61669871.9249,616074.313183581,0.0,-10631049.452,740266657.8,450791494.0,703127976.5,5378074315.00129,293582.7872321918,181541.24117150684,2169.9351016172604,3335697.375342466,452584357.4520548,69242934.87123288,586126489.0410959,24657625671.232876,0.0,594274.4156164384,0.0
1996,3926705294.0,127386493.2838605,152771822.16,2265761456.1,0.0,-754582655.35,4999290524.08,840757599.0,-84589417.1,717879966.4,29023836.517317705,1257.567467,2725093.0582513,1955471.141,1784975779.6,0.0,2668460.71806,84369502.1856,23171227.977,43384983.677,493090.3258658102,0.0,59913683.17,658178062.18,448028946.0,562776949.1,4818374316.1141,282325.6208515027,74887.84100136612,2371.9299185636887,3830555.8114754097,465616680.87431693,62221816.94808743,584152806.010929,24741789781.420765,0.0,337147477.59562844,0.0,3337680092.0,121682874.68590261,151133541.15,2251388534.6,0.0,-746928631.85,4999290524.08,813567583.0,0.0,0.0,29023836.517317705,1257.567467,2700025.586818769,2660468.4534,1780575374.4,0.0,2684779.8711,87699532.2791,23171227.977,39726176.9633,485804.84251489,0.0,-9986806.4067,653594605.99,437660986.0,558246098.2,4813925484.395,282325.6208515027,74887.84100136612,2369.709368649604,3579244.1885245903,464913714.64480877,61787195.068306014,584634991.2568306,24696755464.480873,0.0,554360.881147541,0.0
1997,3105082085.0,76952065.7986,116343634.3,1582706987.6,0.0,-797178343.6,3305699918.29,842802246.0,-86918838.5,494746230.15,34313666.0264179,368.31951,2292690.167737,1675819.5695,1602299185.6,0.0,2016736.11874,88579949.619,23034796.949,28674859.455,300866.1168716282,0.0,59157267.94,455920683.49,433353017.0,474667490.8,3181899793.746,245295.3769539452,5837.475297479453,1905.6874950542083,3445873.5287671234,443940352.8767123,47446807.063013695,595083266.849315,24735720493.150684,0.0,340821116.43835616,0.0,2597596492.0,71356903.98084706,114757823.87,1571748524.0,0.0,-797950324.15,3305699918.29,814487712.0,0.0,0.0,34313666.0264179,368.31951,2264850.143115069,2426055.121,1596589825.0,0.0,2026934.27176,92980005.4445,23034796.949,25262589.6093,292805.71725967,0.0,-9984518.009,451182014.99,423210777.0,470201595.4,3177585455.08594,245295.3769539452,5837.475297479453,1902.4940228758985,3824515.194520548,443089375.34246576,47047258.71780822,595631635.3424658,24692000547.945206,0.0,480494.1528767124,0.0
1998,5193853258.0,145528811.9249897,168276364.79,3093536477.5,0.0,-860618552.05,5567595840.06,824744492.0,-80704880.1,855447242.0,36567094.36813377,1820.3547002,3399718.838809,1887772.9562,1671516664.5,0.0,2607209.874,82122885.7027,20733299.871,61441819.889,591382.0511439419,0.0,56442629.142,811869329.68,493597472.0,806150716.6,5355617210.6429,379147.3975829589,80820.12427917808,3888.2766382326026,4611526.024657534,514590673.15068495,82372267.43561643,671384050.1369863,24915968383.561646,0.0,374944715.89041096,0.0,4352432863.0,139323429.1601616,166368166.94,3079543306.1,0.0,-857747802.95,5567595840.06,798562835.0,0.0,0.0,36567094.36813377,1820.3547002,3378466.524396963,2449914.0306,1668130376.2,0.0,2607624.7056,85137035.6546,20733299.871,56686656.6854,583937.88193051,0.0,-13931428.6701,809020842.61,481845744.0,802485573.1,5350886000.728845,379147.3975829589,80820.12427917808,3883.9433952216436,5103143.967123288,514009896.1643836,81943574.40821917,672985679.4520547,24869568054.79452,0.0,628659.8583561644,0.0
1999,3001391397.0,74856006.79,80356921.92,1573608189.5,0.0,-817502774.7,3078228100.77,840910458.0,-84264946.4,447941039.39,29646450.508407846,53968.945917000005,2151278.6446,1676602.049,1391538614.7,0.0,2256031.7945,99976937.3221,21750421.664,25574289.166,273722.6027040123,0.0,55412563.22,462930121.43,447662931.0,485241571.9,2963949014.68,236506.83548723123,528219.3372644109,2316.6324765391782,3660838.901369863,431081613.2328767,51695478.75342466,646439947.9452055,24895634821.91781,0.0,327488000.27397263,0.0,2559562018.0,68836098.57374682,78522875.4,1563144612.7,0.0,-816431075.9,3078228100.77,812831561.0,0.0,0.0,29646450.508407846,53968.945917000005,2124268.4489057,2523403.774,1386692146.0,0.0,2243104.2071,104437431.4925,21750421.664,22322976.7963,266778.40260646,0.0,-10678619.9125,460274710.84,437492759.0,482846659.2,2959361055.11741,236506.83548723123,528219.3372644109,2313.406120308767,4905804.994520548,430203016.1643836,51281246.56712329,647395830.6849315,24854761232.876713,0.0,499573.76465753425,0.0
2000,2754036556.0,73283322.2477,80698461.88,1426226614.6,0.0,-778866708.15,3254537934.52,843326041.0,-87228738.4,436051876.0,27929910.69786607,22665.327552,2532305.263916,1768320.424,1625429892.8,0.0,2110527.45796,88829830.4986,22236451.13,24211360.321,287301.6017206221,0.0,60146096.4,427154231.14,433457139.0,423974458.1,3139850841.8673,280554.05475057376,45840.08721120219,2541.957463140246,3559762.9480874315,413614361.6939891,41131926.35519125,640652340.1639345,24831010983.606556,0.0,337888308.4699454,0.0,2359084003.0,67658463.57004884,78858848.72,1414989526.4,0.0,-779064608.35,3254537934.52,814187214.0,0.0,0.0,27929910.69786607,22665.327552,2507639.3789618104,2496050.4729999998,1620668201.3,0.0,2100705.57169,92642644.7409,22236451.13,20989767.3604,279469.03913736,0.0,-10098695.5909,422862213.06,423666336.0,419888552.1,3135446481.48052,280554.05475057376,45840.08721120219,2539.3495301341527,4713892.680327869,412637178.25136614,40689445.77595628,640967811.7486339,24791639453.551914,0.0,480443.24398907105,0.0
2001,2758293895.0,92262823.7131,72519381.94,1551421183.8,0.0,-682378763.75,3934514155.44,845226398.0,-88080459.5,475742395.4,23317355.4563471,8043.0051,2062372.851959,1492604.8405,1340977784.9,0.0,1864741.78011,94365216.5053,23351138.062,29438727.856,358809.7134747477,0.0,63911316.8,546687758.33,406411095.0,396377711.4,3799184223.1579,251099.21057263014,61319.0555660274,3177.0676229993696,3091361.0117808217,389267186.82191783,44332407.82191781,632755934.520548,24701378493.150684,0.0,344163153.4246575,0.0,2417079252.0,86556901.55457154,70694434.74,1535409156.5,0.0,-683853136.9,3934514155.44,815938842.0,0.0,0.0,23317355.4563471,8043.0051,2039392.7750007699,2330825.3191,1335025805.5,0.0,1859857.6978499999,98529210.627,23351138.062,25759482.833300002,351023.00270236,0.0,-9110065.64556,538765540.31,396534127.0,388742121.7,3795291795.37202,251099.21057263014,61319.0555660274,3174.5537872306027,4279337.665753425,388335119.39726025,43799947.46575342,632521010.9589041,24663699671.232876,0.0,487510.56,0.0
2002,2829722965.0,81010697.2991,109787420.11,1503375313.7,0.0,-743229195.3,3282823142.47,840426744.0,-85095788.4,468539031.8,24113807.5174217,781.3530599999999,1646653.477432,1633351.2044,1391260210.6,0.0,1951900.2923,94719288.9391,23146934.906,27702335.869,335110.90090779733,0.0,61660648.7,418163885.99,418372965.0,422227112.5,3163089512.5007,189881.10437616435,7821.102010684931,1916.937093854147,3338556.664931507,399990198.5753425,40364655.56712329,679564303.8356165,24690646821.91781,0.0,355274768.2191781,0.0,2440871808.0,75319473.80694632,107637388.72,1491411767.7,0.0,-743240558.95,3282823142.47,813162338.0,0.0,0.0,24113807.5174217,781.3530599999999,1620392.1164629764,2462372.5541,1385488118.7,0.0,1947511.64342,98728252.25659999,23146934.906,24161170.3211,328153.37468625,0.0,-9290771.437,413564289.92,407068607.3,418026425.2,3159190385.57497,189881.10437616435,7821.102010684931,1913.4782804958802,4317819.882191781,399142605.94520545,40046781.11232877,679645406.3013699,24652707205.47945,0.0,468276.48493150686,0.0
2003,3025595240.0,85128251.4734,78228277.59,1565512916.4,0.0,-769222707.35,3441663592.1,837292108.0,-84470945.7,481102824.4,30925905.5702419,37216.492771,2461312.819407,1788571.9507,1531348182.1,0.0,2597742.5459,90386457.03,22574059.968,28188659.861,349597.5123862284,0.0,57716497.87,503515346.92,433324923.0,493601371.1,3306946980.1201,262926.28559510957,104019.9536610411,2264.007542185356,3793878.5479452056,444221757.15068495,55362733.64383562,710844835.6164384,24704137123.28767,0.0,367586347.94520545,0.0,2542545881.0,79535341.1683816,76448955.51,1554374121.3,0.0,-773921942.35,3441663592.1,809763788.0,0.0,0.0,30925905.5702419,37216.492771,2436863.924813871,2568265.5551,1526787112.5,0.0,2599992.1306,94070873.26190001,22574059.968,24173695.5623,342733.63251916,0.0,-11082591.218,498520998.87,422726460.0,488718405.4,3302802296.9471,262926.28559510957,104019.9536610411,2261.411795786074,4552751.276712329,443525950.9315069,54992834.252054796,710725123.0136986,24666503452.054794,0.0,510002.63863013696,0.0
2004,2940277846.0,76362774.8111,87049081.89,1478022936.2,0.0,-777944153.7,3192133179.25,843185228.0,-90309245.4,476308039.6,25864860.906316802,4804.290120000001,1870635.632267,1675513.851,1426560855.8,0.0,2183943.7726,99906972.8595,23537337.481,29113653.027,279514.8594736096,0.0,57098967.75,453031434.73,431636461.0,474181297.3,3079418455.1051,219958.12549306013,95338.40246065574,2141.2474612718033,3298146.4218579237,399747225.43715847,44394087.00273224,723929193.1693989,24707368005.46448,0.0,327343621.03825134,0.0,2440368767.0,70649031.40319258,85174926.45,1466594876.5,0.0,-779015865.1,3192133179.25,813125293.0,0.0,0.0,25864860.906316802,4804.290120000001,1844360.9753451596,2593164.3898,1420663658.6,0.0,2181344.08433,104265080.8143,23537337.481,25636537.7203,273040.44662364,0.0,-10611570.395,448655943.67,421562854.0,472244726.7,3075463631.8763,219958.12549306013,95338.40246065574,2138.259276669399,4381304.928961748,398805154.91803277,43995837.833333336,722892170.2185793,24675027759.562843,0.0,491405.16721311474,0.0
2005,3567696597.0,124253873.708792,185022327.37,2063077353.9,0.0,-740360994.9,4796121587.78,835351683.0,-84459123.2,604476758.7,27916636.950728796,14525.858503000001,2575374.6896401998,2046041.3172,1893757889.4,0.0,2830112.94458,76538950.1331,22180681.333,36230305.826,485996.20170213643,0.0,57901713.97,591919938.81,437298377.0,537861161.4,4619110355.52437,277942.75601583015,161182.67026473975,2247.306942034137,4148102.5424657534,488481502.739726,59047459.34246575,747581143.8356165,24719406273.972603,0.0,319678482.739726,0.0,3159328607.0,118681990.68092217,183236295.04,2050334830.6,0.0,-734517084.2,4796121587.78,807212391.0,0.0,0.0,27916636.950728796,14525.858503000001,2550828.13566529,2589650.5106,1890304154.0,0.0,2818521.1489,79820768.1843,22180681.333,32056616.2452,478062.5183028,0.0,-11388219.9898,587133034.96,427228024.0,531849735.9,4615011714.00415,277942.75601583015,161182.67026473975,2245.0490140653424,4627920.230136986,487890357.8082192,58683755.816438355,745145056.4383562,24689649068.49315,0.0,540234.1238356164,0.0
