date,StreamOut_Q_base,HortSroff2Stream_Q_base,DunnSroff2Stream_Q_base,Interflow2Stream_Q_base,Stream2Unsat_Q_base,StreamExchng2Sat_Q_base,Precip_Q_base,NetBoundaryFlow2Sat_Q_base,NetWellFlow_Q_base,BoundaryStreamFlow_Q_base,CanopyEvap_Q_base,SnowEvap_Q_base,ImpervEvap_Q_base,DprstEvap_Q_base,CapET_Q_base,SwaleEvap_Q_base,UnsatET_Q_base,SatET_Q_base,LakeEvap_Q_base,DunnInterflow2Lake_Q_base,HortSroff2Lake_Q_base,Lake2Unsat_Q_base,LakeExchng2Sat_Q_base,SoilDrainage2Unsat_Q_base,Sat2Grav_Q_base,RechargeUnsat2Sat_Q_base,Infil2Soil_Q_base,Canopy_S_base,SnowPweqv_S_base,Imperv_S_base,Dprst_S_base,Cap_S_base,Grav_S_base,Unsat_S_base,Sat_S_base,UnsatStream_S_base,Lake_S_base,Stream_S_base,day_base,moday_base,month_base,year_base,date_base,StreamOut_Q_unimp,HortSroff2Stream_Q_unimp,DunnSroff2Stream_Q_unimp,Interflow2Stream_Q_unimp,Stream2Unsat_Q_unimp,StreamExchng2Sat_Q_unimp,Precip_Q_unimp,NetBoundaryFlow2Sat_Q_unimp,NetWellFlow_Q_unimp,BoundaryStreamFlow_Q_unimp,CanopyEvap_Q_unimp,SnowEvap_Q_unimp,ImpervEvap_Q_unimp,DprstEvap_Q_unimp,CapET_Q_unimp,SwaleEvap_Q_unimp,UnsatET_Q_unimp,SatET_Q_unimp,LakeEvap_Q_unimp,DunnInterflow2Lake_Q_unimp,HortSroff2Lake_Q_unimp,Lake2Unsat_Q_unimp,LakeExchng2Sat_Q_unimp,SoilDrainage2Unsat_Q_unimp,Sat2Grav_Q_unimp,RechargeUnsat2Sat_Q_unimp,Infil2Soil_Q_unimp,Canopy_S_unimp,SnowPweqv_S_unimp,Imperv_S_unimp,Dprst_S_unimp,Cap_S_unimp,Grav_S_unimp,Unsat_S_unimp,Sat_S_unimp,UnsatStream_S_unimp,Lake_S_unimp,Stream_S_unimp,day_unimp,moday_unimp,month_unimp,year_unimp,date_unimp
1990-01-15,252894084.0,15335080.39442,3460687.39194,122074913.0,0.0,-60989645.5,609084432.0,70617270.0,-4902117.9,62765846.6,3378070.158,4504.580034,273199.06882,71137.428,76580176.0,0.0,267301.3742,367266.9053,497558.591,1277178.6401,59641.7952767,0.0,2296327.38,67300861.14,29242957.5,112199961.9,583005699.9275,460359.255483871,687335.1825806452,6409.590743548387,989337.6877419355,646678422.5806452,61206142.67741936,199846125.80645162,24939099677.419353,0.0,268559683.87096775,0.0,15,"(1990, 1)",1,1990,1990-01-15,269261240.0,15328265.863710804,3398073.64094,122199238.4,0.0,-57387920.9,609084432.0,69316503.0,0.0,0.0,3378070.158,4504.580034,273140.635417,70006.5704,76583627.0,0.0,262932.6963,372150.5021,497558.591,1172325.6508,59560.83672,0.0,-13690898.36,67091305.42,29170147.6,112487670.6,582990139.9795,460359.255483871,687335.1825806452,6408.915732258064,292591.20193548384,646687612.9032258,61299186.09677419,191540954.83870968,24940049677.419353,0.0,623486.6741935484,0.0,15,"(1990, 1)",1,1990,1990-01-15
1990-02-15,264631196.0,8847171.1645,3854042.33,154132805.0,0.0,-52149744.6,335051010.82,63287796.0,-4281487.0,50585462.5,3319816.127221,4590.9472399999995,202390.82824,92605.587,100582747.0,0.0,286463.40369999997,178957.7172,670120.355,2143899.73,36204.6347741,0.0,3645642.5,79736513.7,29470649.0,41007214.0,323211020.536,329949.8849646429,1997332.4428571428,6168.7911125,2742925.4285714286,731488510.7142857,107044556.78571428,224943125.0,24973739285.714287,0.0,280982235.71428573,0.0,15,"(1990, 2)",2,1990,1990-02-15,238201525.0,8724174.849039365,3790433.58,154152781.0,0.0,-52726222.5,335051010.82,61844892.0,0.0,0.0,3319816.127221,4590.9472399999995,201706.65807,92493.413,100581967.0,0.0,285894.8348,178106.1891,670120.355,1953805.6199999999,36180.05512,0.0,-4993091.0,79724084.1,29262721.0,40570862.0,323085501.062,329949.8849646429,1997332.4428571428,6166.578741785714,595193.1107142858,731495650.0,107158379.28571428,224689692.85714287,24957283571.42857,0.0,603044.4500000001,0.0,15,"(1990, 2)",2,1990,1990-02-15
1990-03-15,172131888.0,5375625.39,2915154.21,80944942.0,0.0,-72025958.0,179227156.49,70297081.0,-4938303.5,31832014.0,4517450.55001,3278.718473,265090.5193,194278.24,209179894.0,0.0,342836.298,787592.779,1445521.42,1229704.363,19883.331132,0.0,4468337.6,32323422.93,33647930.0,29307628.6,169874088.92000002,297628.7939483871,229210.2033483871,1934.97981061,3779127.5161290322,716851322.5806452,62872956.451612905,244316174.19354838,24982024193.548386,0.0,299865129.0322581,0.0,15,"(1990, 3)",3,1990,1990-03-15,165059479.0,4513062.401192722,2800811.14,80697358.1,0.0,-71978731.0,179227156.49,68584714.0,0.0,0.0,4517450.55001,3278.718473,261669.338879868,193997.202,209186163.0,0.0,339801.852,781985.612,1445521.42,1039366.092,19634.685532800002,0.0,-4076678.3,32281790.51,33286162.0,29205685.5,169271909.5747,297628.7939483871,229210.2033483871,1934.3088728680646,692005.6774193548,716855461.2903225,62765690.32258064,244297164.51612905,24960121612.903225,0.0,486317.84193548386,0.0,15,"(1990, 3)",3,1990,1990-03-15
1990-04-15,97157985.0,1482609.77,2512839.88,23203015.7,0.0,-70842147.0,41058625.8,69006344.0,-6276075.5,6260446.37,2286068.31,162.9379,107145.7452,322789.999,285150572.0,0.0,607214.471,8948919.58,2484313.92,196883.206,4038.5416299999997,0.0,4874541.1,2194833.68,31605062.0,12954576.9,38413795.66,115204.99666666666,18844.040093333333,8.578584880133333,3898733.6333333333,512827313.3333333,4776864.2,235140663.33333334,24960092000.0,0.0,305095900.0,0.0,15,"(1990, 4)",4,1990,1990-04-15,96959991.0,608813.5976,2423522.41,23082088.7,0.0,-70747265.0,41058625.8,66948326.0,0.0,0.0,2286068.31,162.9379,103770.316197404,309291.2,284923327.0,0.0,613676.698,8934759.71,2484313.92,96888.382,2835.1924353,0.0,-2986274.67,2187180.18,31248362.0,12995503.6,37821741.3,115204.99666666666,18844.040093333333,8.5566439468,460993.9733333333,512493620.0,4679628.566666666,235105936.66666666,24934330666.666668,0.0,374720.4,0.0,15,"(1990, 4)",4,1990,1990-04-15
1990-05-15,151855372.0,10195677.8967,4066663.8200000003,55514174.1,0.0,-60918787.2,526195593.0,72103297.0,-7201290.2,29528392.2,1931653.18973,0.0,353635.47439,143850.755,181937809.0,0.0,256695.394,11024600.151,2184383.03,526189.211,35578.6597376033,0.0,5388143.5,13028435.89,31822157.0,12514813.4,510046082.839,351233.71635483875,0.0,349.766028923,1657045.4516129033,398446319.3548387,11479500.064516129,227325587.0967742,24926170645.16129,0.0,302517487.0967742,0.0,15,"(1990, 5)",5,1990,1990-05-15,134213145.0,9836802.85,3955844.23,54840128.1,0.0,-62005763.2,526195593.0,69669032.0,0.0,0.0,1931653.18973,0.0,353093.7962,164335.432,181660531.0,0.0,269568.11,11523483.974,2184383.03,393452.146,34630.08747,0.0,-2412821.65,12339939.95,31480404.0,12439695.6,510142002.0,351233.71635483875,0.0,349.6888958064516,304342.78387096775,397874487.0967742,11147472.032258065,227117119.3548387,24898601290.322582,0.0,412820.29032258067,0.0,15,"(1990, 5)",5,1990,1990-05-15
1990-06-15,109323939.0,70258.73908485731,2557978.57,30432374.1,0.0,-67385628.0,3387261.4299999997,69729005.0,-7799596.6,18237408.7,1246268.739853484,0.0,14009.2890400855,264411.382,332347516.0,0.0,349828.791,7395018.01,3074536.64,245974.171,276.1575213964,0.0,5249411.6,4469141.66,31115047.0,10013610.6,3017955.1928169997,28696.196353333336,0.0,9.120295233333334,1490095.3333333333,472447960.0,12402228.7,227685470.0,24907616000.0,0.0,309956893.3333333,0.0,15,"(1990, 6)",6,1990,1990-06-15,100403785.0,28575.4126,2492056.05,30131038.7,0.0,-68706186.0,3387261.4299999997,67189458.0,0.0,0.0,1246268.739853484,0.0,13836.78570569,298058.523,331865860.0,0.0,352854.036,7595075.26,3074536.64,147220.828,133.443463,0.0,-2086164.43,4324575.09,30763451.0,9850478.9,2961152.96,28696.196353333336,0.0,9.119395033333335,413381.56,471481876.6666667,12079636.433333334,227007160.0,24877360000.0,0.0,350600.75666666665,0.0,15,"(1990, 6)",6,1990,1990-06-15
1990-07-15,101030774.0,101668.3124,2556119.63,20793046.3,0.0,-64143306.0,185557.44,72926733.0,-9052300.5,6788539.62,84968.184744,0.0,706.303594,93964.572,158667453.0,0.0,99879.44,19889210.8,3581601.77,138200.542,0.0863884454,0.0,5363407.2,2071843.48,31001937.1,6520098.8,224351.9432,2835.285067419355,0.0,1.5243357741935484,877317.9096774193,245696051.61290324,1968600.7096774194,222105993.5483871,24869483548.387096,0.0,300610148.38709676,0.0,15,"(1990, 7)",7,1990,1990-07-15,87758931.0,401.77110000000005,2498187.32,20574391.5,0.0,-66069295.0,185557.44,70097526.0,0.0,0.0,84968.184744,0.0,100.2070969,128519.553,157887838.0,0.0,89844.3871,20363529.7,3581601.77,56134.912,0.0,0.0,-1786905.44,1955860.52,30660244.1,6432042.3,100142.20000000001,2835.285067419355,0.0,1.5031544193548385,201301.42580645162,244876332.2580645,1811040.4516129033,221423609.67741936,24838823870.967743,0.0,314910.8129032258,0.0,15,"(1990, 7)",7,1990,1990-07-15
1990-08-15,100125158.0,119266.7597,2570834.6,20784972.5,0.0,-62050829.0,1768405.9100000001,73255697.0,-8960107.7,8617441.69,420013.09620340005,0.0,8997.167431,58213.521,66892245.0,0.0,8992.02958,15563695.2,3138115.24,142429.197,8.189329774299999,0.0,5188243.2,2158298.59,30339101.8,5402046.3,1465494.0921,19359.274625161288,0.0,2.214734741935484,514127.13870967744,144405348.38709676,1890453.5806451612,218315125.80645162,24830343870.967743,0.0,284360409.67741936,0.0,15,"(1990, 8)",8,1990,1990-08-15,83289880.0,662.2345,2510954.67,20507243.9,0.0,-64199827.0,1768405.9100000001,70398874.0,0.0,0.0,420013.09620340005,0.0,8344.130162,46473.9767,66270215.0,0.0,7033.14453,15944979.9,3138115.24,55270.852,5.521375,0.0,-1539735.98,1980871.06,29951933.1,5315676.9,1323491.95,19359.274625161288,0.0,2.202898774193548,115357.2064516129,143532761.29032257,1692210.9032258065,217573822.58064517,24799943548.387096,0.0,312407.9483870968,0.0,15,"(1990, 8)",8,1990,1990-08-15
1990-09-15,94324545.0,460845.086,2552608.44,21791249.4,0.0,-59087684.0,39841980.67,70825861.0,-8148425.4,22300779.1,1430318.9643009999,0.0,102376.511035,53303.937,38162286.5,0.0,11171.72226,11599195.1,2334560.69,172024.65,2202.319559293,0.0,5058621.6,2189066.89,29183773.2,4669488.5,37785836.511,124203.67012666668,0.0,56.410044066666664,521840.4533333333,110219236.0,2645029.7666666666,215493693.33333334,24797536666.666668,0.0,278442540.0,0.0,15,"(1990, 9)",9,1990,1990-09-15,81363203.0,284775.53196600004,2487461.56,21448118.9,0.0,-60921342.0,39841980.67,68154030.0,0.0,0.0,1430318.9643009999,0.0,101694.02564200001,42971.3838,37635153.7,0.0,10710.50919,12055338.2,2334560.69,76264.666,2166.9141471400003,0.0,-1291554.91,1981565.93,28788179.1,4548557.6,37655433.49,124203.67012666668,0.0,56.1655386,90438.52866666667,109176490.33333333,2400656.2666666666,214665186.66666666,24767547666.666668,0.0,323491.63666666666,0.0,15,"(1990, 9)",9,1990,1990-09-15
1990-10-15,103445439.0,800482.6399999999,2731954.57,23923197.6,0.0,-59764135.0,86805198.69,72889457.0,-7354981.2,25130334.2,1584817.9687569,0.0,81054.31527,137681.376,34548927.7,0.0,22679.6094,9292846.21,1774145.43,214188.34399999998,2043.70373362,0.0,5304081.1,2171057.82,30207986.0,4376029.3,83301505.8477,105872.5605848387,0.0,435.9995768709677,985492.3483870968,113917764.51612903,3426361.064516129,213121351.61290324,24770592903.225807,0.0,282595632.2580645,0.0,15,"(1990, 10)",10,1990,1990-10-15,84269633.0,418838.49716,2648286.2800000003,23727420.7,0.0,-62381980.0,86805198.69,70340503.0,0.0,0.0,1584817.9687569,0.0,80377.841735603,42022.6281,34051339.9,0.0,20643.4546,9568556.91,1774145.43,98202.401,1981.9815626999998,0.0,-1176889.08,2147575.4699999997,29703065.9,4278183.9,83105004.96000001,105872.5605848387,0.0,435.99953164516126,77211.40193548387,112898819.35483871,3289042.3870967743,212296270.96774194,24738746774.19355,0.0,334939.8451612903,0.0,15,"(1990, 10)",10,1990,1990-10-15
