year,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,STREAM_LEAKAGE_IN_base,LAKE__SEEPAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,MNW2_IN,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,STREAM_LEAKAGE_OUT_base,LAKE__SEEPAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,STREAM_LEAKAGE_IN_unimp,LAKE__SEEPAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,LAKE__SEEPAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
1990,1207270.1,0.0,0.0,6547000.5,1302154.0,186152.36,3799960.0,0.0,0.0,1370.7997,0.0,13043907.0,4720301.0,0.0,27485.793,4234840.5,2567947.0,24254.982,0.0,189779.52,1006122.7,189392.03,28775.102,12988898.0,55009.465,0.22533332,1322891.4,0.0,6512581.5,1264469.8,9919.244,3786171.0,0.0,0.0,12896032.0,4670883.0,0.0,4269682.5,2577410.5,143893.58,0.0,195299.89,993986.8,12851156.0,44875.633,0.17133333
1991,1099232.9,0.0,0.0,6542478.0,1766984.9,210456.95,1136066.9,0.0,0.0,1500.9174,0.0,10756720.0,2414667.2,0.0,24741.98,4234712.5,2623878.0,10528.697,0.0,136001.62,1041258.4,186037.31,28982.352,10700808.0,55911.734,0.22588235,1015366.56,0.0,6507797.5,1646532.2,13685.048,940767.0,0.0,0.0,10124149.0,2063396.4,0.0,4269767.5,2504334.8,32960.69,0.0,170738.98,1018813.06,10060011.0,64137.43,0.2642857
1992,852463.9,0.0,0.0,6540334.5,1709228.6,193615.77,1216347.1,0.0,0.0,1534.1868,0.0,10513524.0,2294721.8,0.0,23990.174,4236541.5,2543159.8,13191.993,0.0,124835.02,1061139.5,175657.05,25392.46,10498629.0,14895.526,0.054210525,888821.75,0.0,6510402.0,1357694.5,8245.604,1068356.1,0.0,0.0,9833520.0,1812793.2,0.0,4267609.0,2537086.0,24585.775,0.0,144567.19,1027411.9,9814054.0,19466.324,0.12588234
1993,1020835.94,0.0,0.0,6530488.0,2306650.2,223864.66,1939836.8,0.0,0.0,1675.9495,0.0,12023351.0,3369537.0,0.0,26357.168,4250148.5,2785613.2,21284.357,0.0,167859.75,1194659.8,172872.03,29522.21,12017854.0,5497.6,-0.010666672,978877.1,0.0,6500679.0,2391945.0,25648.549,1934795.2,0.0,0.0,11831945.0,3453721.5,0.0,4282520.5,2708210.5,26218.104,0.0,174398.78,1166393.2,11811462.0,20482.232,0.119333334
1994,919081.06,0.0,0.0,6546806.0,615109.44,171303.25,791874.4,0.0,0.0,1429.6731,0.0,9045604.0,536946.06,0.0,28032.715,4234954.0,2704380.0,20261.219,0.0,191576.72,1080451.1,198216.84,42922.758,9037742.0,7862.077,0.06,840805.9,0.0,6509599.5,772409.4,4353.391,816074.0,0.0,0.0,8943242.0,775676.1,0.0,4273090.5,2609968.2,33936.863,0.0,185971.89,1049766.8,8928410.0,14831.821,0.14142856
1995,1197949.0,0.0,0.0,6520328.0,3281979.2,289116.0,2779748.0,0.0,0.0,1687.3699,0.0,14070807.0,5061462.0,0.0,25799.438,4262752.0,2937822.8,24403.467,0.0,157458.47,1277807.8,177854.81,27018.055,13952379.0,118428.72,0.54833335,1295300.1,0.0,6489820.5,2705926.2,23776.465,2990255.8,0.0,0.0,13505079.0,4580518.0,0.0,4301094.5,3028935.0,36010.203,0.0,164311.23,1240234.8,13351104.0,153975.06,0.7355555
1996,1053355.9,0.0,0.0,6536779.0,2062395.6,221322.69,2136125.0,0.0,0.0,1617.1019,0.0,12011595.0,3147488.2,0.0,28553.402,4246120.5,3129825.0,14397.594,0.0,226848.95,1246261.4,197416.77,36062.516,12272974.0,-261379.44,-1.175,946239.4,0.0,6500834.0,2516064.0,23970.36,2198362.0,0.0,0.0,12185469.0,3732351.0,0.0,4281123.0,2741864.0,26618.424,0.0,171503.72,1209222.2,12162682.0,22787.088,0.1264706
1997,1157237.8,0.0,0.0,6525986.0,1971292.1,223516.36,2708654.2,0.0,0.0,1643.4458,0.0,12588330.0,3386361.2,0.0,24307.576,4255626.0,3421681.2,30438.504,0.0,114262.086,1299148.0,181037.92,22067.133,12734930.0,-146600.19,-0.5692308,1006639.7,0.0,6505479.5,1704394.9,14867.895,1824570.9,0.0,0.0,11055953.0,2572808.0,0.0,4275436.0,2781122.5,28510.496,0.0,201710.86,1158791.2,11018379.0,37573.6,0.29666668
1998,1468226.2,0.0,0.0,6513207.0,1431493.1,183642.14,2656094.5,0.0,0.0,1639.8052,0.0,12254303.0,2637981.5,0.0,26127.48,4288895.0,3579714.0,34715.715,0.0,125299.05,1447385.2,177281.66,21576.66,12338976.0,-84673.32,-0.38680005,1263484.1,0.0,6495842.5,1285466.0,8655.274,2110781.5,0.0,0.0,11164229.0,2140553.0,0.0,4299781.5,3178151.5,40275.656,0.0,188051.58,1290907.1,11137720.0,26508.643,0.22071429
1999,1094309.8,0.0,0.0,6528651.5,1837811.8,190096.72,2528125.5,0.0,0.0,1658.8512,0.0,12180654.0,2981215.2,0.0,25477.785,4257383.0,3232369.2,22676.69,0.0,165431.34,1285027.0,181863.61,27710.348,12179154.0,1499.762,-0.019047616,1033436.7,0.0,6497377.0,1093625.9,7390.0986,1981898.2,0.0,0.0,10613728.0,1529218.2,0.0,4293904.0,3275211.0,37123.04,0.0,186075.8,1288996.1,10610528.0,3200.0,0.023
