year,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,SPECIFIED_FLOWS_IN_base,STREAM_LEAKAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,SPECIFIED_FLOWS_OUT_base,STREAM_LEAKAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,SPECIFIED_FLOWS_IN_unimp,STREAM_LEAKAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,SPECIFIED_FLOWS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
1974,7143816.0,0.0,0.0,829358.3,140858.03,1215983.2,1444084.6,0.0,0.0,0.0,10774100.0,3541649.8,0.0,907963.8,1218683.6,0.0,2631437.8,0.0,1164493.5,739032.1,571010.6,10774271.0,-170.94444,-0.0033333334,5520837.0,0.0,828408.25,140965.73,1345551.9,1889404.9,0.0,0.0,9725168.0,4102036.0,0.0,1264978.2,0.0,2795571.5,0.0,767498.8,790614.06,9720699.0,4469.1665,0.04166667
1975,6385445.5,0.0,0.0,861836.56,144875.08,3295268.0,2362571.2,0.0,0.0,0.0,13049996.0,4048146.0,0.0,984616.7,1111936.6,0.0,3569829.8,0.0,1408047.4,967011.7,932227.5,13021816.0,28181.041,0.1825,5032383.0,0.0,844770.0,144875.08,3183392.0,2356742.5,0.0,0.0,11562163.0,3904162.8,0.0,1210975.2,0.0,3705452.8,0.0,1659422.6,1067638.9,11547652.0,14510.375,0.015000007
1976,5037510.5,0.0,0.0,876500.7,149519.55,2067480.9,393489.25,0.0,0.0,0.0,8524501.0,1592665.9,0.0,987835.1,1028615.1,0.0,2087623.5,0.0,1251701.2,416275.47,1157800.9,8522517.0,1983.9032,0.0138709685,3797115.2,0.0,851833.7,149544.05,2090394.4,428802.97,0.0,0.0,7317690.0,1499160.4,0.0,1165680.4,0.0,2393190.0,0.0,1699452.1,579907.94,7337390.5,-19700.416,-0.26874998
1977,5413897.0,0.0,0.0,887338.06,155248.56,3106136.2,332466.16,0.0,0.0,0.0,9895085.0,2896155.0,0.0,1059907.2,966814.3,0.0,1929081.2,0.0,924311.8,326539.6,1790066.1,9892876.0,2210.5,0.008400001,3411092.0,0.0,850843.7,155252.23,2770187.2,370069.5,0.0,0.0,7557444.5,2254004.8,0.0,1135843.0,0.0,2186341.8,0.0,1495576.0,491302.5,7563068.0,-5623.2915,-0.12291666
1978,5743409.5,0.0,0.0,892700.7,160184.81,3848696.0,4489582.5,0.0,0.0,0.0,15134573.0,6319564.0,0.0,1182063.4,946042.44,0.0,2971943.8,0.0,1288036.9,624607.0,1725159.6,15057417.0,77155.94,0.34583333,4208992.5,0.0,850266.94,160184.81,3502348.0,4410413.5,0.0,0.0,13132205.0,5563296.5,0.0,1140615.9,0.0,3411244.2,0.0,1949664.1,980357.2,13045179.0,87027.164,0.5095833
1979,5336602.0,0.0,0.0,897439.56,165548.2,3563264.8,3133932.8,0.0,0.0,0.0,13096787.0,4810777.5,0.0,1235859.2,934275.7,0.0,2589642.2,0.0,1137018.6,525267.8,1818356.4,13051197.0,45589.418,0.25375,3589452.5,0.0,848384.2,165544.84,3127930.0,3128587.8,0.0,0.0,10859899.0,3950179.5,0.0,1142846.6,0.0,3081221.5,0.0,1767746.2,873483.1,10815476.0,44422.32,0.28599998
1980,5636332.0,0.0,0.0,894506.8,169999.72,3117835.8,4771586.5,0.0,0.0,0.0,14590260.0,5562503.0,0.0,1306183.5,948543.25,0.0,2924836.8,0.0,1338902.6,709292.75,1762020.1,14552282.0,37978.703,0.17333335,4190468.0,0.0,839773.3,170001.53,3234547.0,5145479.0,0.0,0.0,13580268.0,5503042.0,0.0,1171069.0,0.0,3531166.2,0.0,2103623.8,1235201.8,13544102.0,36166.04,0.13576923
1981,5476157.5,0.0,0.0,893753.6,172862.64,3606922.8,3162912.2,0.0,0.0,0.0,13312609.0,4904140.5,0.0,1301850.0,937701.06,0.0,2813862.2,0.0,1120479.8,498021.12,1713296.1,13289351.0,23258.25,0.11230768,3780445.8,0.0,840497.1,172860.84,3290388.5,3277675.2,0.0,0.0,11361867.0,4202635.0,0.0,1171024.9,0.0,3414588.0,0.0,1709200.4,863975.2,11361423.0,444.0,-0.096428566
1982,5648121.0,0.0,0.0,881309.1,174419.62,5485256.0,7790433.5,0.0,0.0,0.0,19979538.0,10052416.0,0.0,1330320.9,980926.94,0.0,3849946.5,0.0,1216024.6,1004458.6,1470132.4,19904226.0,75313.43,0.34178573,4740230.0,0.0,826687.6,174363.42,4949036.0,6763305.0,0.0,0.0,17453622.0,8200854.0,0.0,1217156.0,0.0,4356160.5,0.0,2024581.8,1539335.2,17338088.0,115534.88,0.5788461
1983,6154460.0,0.0,0.0,857685.2,176524.9,4852142.5,9458109.0,0.0,0.0,0.0,21498922.0,10149176.0,0.0,1328514.2,1045791.5,0.0,4767624.0,0.0,1564725.8,1432036.8,1047337.2,21335204.0,163717.19,0.657037,5217850.5,0.0,804467.1,176524.9,5146850.0,9043694.0,0.0,0.0,20389386.0,9646037.0,0.0,1278064.6,0.0,5431794.0,0.0,1936332.2,2012895.8,20305124.0,84262.555,0.34185183
