"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   7.30573730469E+01   6.07131004333E+01  HO_0        
   2.82382110596E+02   3.21515197754E+02  HO_1        
   8.50172805786E+01   9.21474990845E+01  HO_2        
   4.18795013428E+01   4.38522987366E+01  HO_3        
   1.63851726055E+00   1.17550003529E+00  HO_4        
   2.99726653099E+00   2.38050007820E+00  HO_5        
   5.36595573425E+01   6.00546989441E+01  HO_6        
   1.56245651245E+02   1.90309295654E+02  HO_7        
   4.69633789062E+01   4.23306007385E+01  HO_8        
   4.31923027039E+01   5.20217018127E+01  HO_9        
   3.99131278992E+01   4.86105003357E+01  HO_10       
   3.76033668518E+01   5.13138008118E+01  HO_11       
   2.69682903290E+01   2.60044002533E+01  HO_12       
   1.58738479614E+01   1.55081996918E+01  HO_13       
   3.16578643799E+02   3.80539794922E+02  HO_14       
   2.29708042145E+01   1.40573997498E+01  HO_15       
   4.69231262207E+01   6.05152015686E+01  HO_16       
   9.82168769836E+00   6.11660003662E+00  HO_17       
   5.02480583191E+01   3.83134002686E+01  HO_18       
   4.41460571289E+01   3.88009986877E+01  HO_19       
   2.10557441711E+01   1.73945999146E+01  HO_20       
   2.92688751221E+01   2.77947006226E+01  HO_21       
   2.44344539642E+01   1.87147006989E+01  HO_22       
   2.08357257843E+01   5.36549997330E+00  HO_23       
   2.03230037689E+01   1.27018995285E+01  HO_24       
   2.07402591705E+01   1.29337997437E+01  HO_25       
   2.07754554749E+01   1.20559997559E+01  HO_26       
   2.22006206512E+01   1.68985004425E+01  HO_27       
   2.38090095520E+01   1.74908008575E+01  HO_28       
   2.04635543823E+01   1.78964004517E+01  HO_29       
   2.67231349945E+01   2.04466991425E+01  HO_30       
   4.57892036438E+01   3.85256004333E+01  HO_31       
   7.86732177734E+01   1.28260002136E+01  HO_32       
   4.70412559509E+01   3.53157005310E+01  HO_33       
   4.67873725891E+01   4.45680999756E+01  HO_34       
   5.21438446045E+01   3.80232009888E+01  HO_35       
   1.79450721741E+01   4.74149990082E+00  HO_36       
   2.09198112488E+01   1.24693002701E+01  HO_37       
   1.26218345642E+02   1.31841796875E+02  HO_38       
   1.28304428101E+02   1.25179397583E+02  HO_39       
   6.82139892578E+01   6.41027984619E+01  HO_40       
   6.35441207886E+01   5.82778015137E+01  HO_41       
   7.84970779419E+01   9.58992004395E+01  HO_42       
   4.76553039551E+01   4.45270004272E+01  HO_43       
   4.82480812073E+01   5.79972991943E+01  HO_44       
   5.41205139160E+01   5.24485015869E+01  HO_45       
   9.15710525513E+01   8.63453979492E+01  HO_46       
   9.97082748413E+01   1.01793296814E+02  HO_47       
   2.73060974121E+02   3.37276397705E+02  HO_48       
   5.40418815613E+01   5.28126983643E+01  HO_49       
   5.53592681885E+01   5.38468017578E+01  HO_50       
   8.40681838989E+01   7.91760025024E+01  HO_51       
   8.45421752930E+01   8.31737976074E+01  HO_52       
   8.65961456299E+01   8.59433975220E+01  HO_53       
   6.55268096924E+01   5.25554008484E+01  HO_54       
   8.27050399780E+01   7.05123977661E+01  HO_55       
   5.23035430908E+01   4.99133987427E+01  HO_56       
   5.55158767700E+01   4.96344985962E+01  HO_57       
   5.18851699829E+01   4.37001991272E+01  HO_58       
   5.05808296204E+01   4.70382995605E+01  HO_59       
   5.24030456543E+01   4.87924003601E+01  HO_60       
   5.35488090515E+01   4.99469985962E+01  HO_61       
   6.13810653687E+01   6.03050003052E+01  HO_62       
   5.73520126343E+01   5.80648002625E+01  HO_63       
   3.30858703613E+02   3.42960998535E+02  HO_64       
   1.45679626465E+02   1.40086105347E+02  HO_65       
   3.08339691162E+02   3.36102996826E+02  HO_66       
   1.51820983887E+02   1.47782104492E+02  HO_67       
   1.47833938599E+02   1.49232696533E+02  HO_68       
   1.47521591187E+02   1.44211898804E+02  HO_69       
   1.47521591187E+02   1.43365600586E+02  HO_70       
   5.49186584473E+02   5.53659973145E+02  HO_71       
   2.43921310425E+02   2.38963195801E+02  HO_72       
   2.47520401001E+02   2.34057495117E+02  HO_73       
   2.21558761597E+02   2.19538299561E+02  HO_74       
   2.20429367065E+02   2.20830505371E+02  HO_75       
   2.40128601074E+02   2.56074096680E+02  HO_76       
   2.28460739136E+02   2.29424804688E+02  HO_77       
   2.28567138672E+02   2.30248001099E+02  HO_78       
   2.28923477173E+02   2.26520095825E+02  HO_79       
   2.38827239990E+02   2.58186309814E+02  HO_80       
   2.16796020508E+02   2.20449600220E+02  HO_81       
   2.13092483521E+02   2.17594802856E+02  HO_82       
   2.16919662476E+02   2.05736999512E+02  HO_83       
   2.02911178589E+02   1.99042007446E+02  HO_84       
   1.95130569458E+02   2.04353805542E+02  HO_85       
   2.21539733887E+02   2.19514892578E+02  HO_86       
   2.29609832764E+02   2.37576904297E+02  HO_87       
   2.32385742188E+02   2.32421096802E+02  HO_88       
   2.34431442261E+02   2.38891693115E+02  HO_89       
   1.99646224976E+02   1.89360000610E+02  HO_90       
   2.19571212769E+02   2.00199798584E+02  HO_91       
   2.02986419678E+02   1.99727798462E+02  HO_92       
   2.16677001953E+02   1.96187606812E+02  HO_93       
   1.83068786621E+02   1.84282104492E+02  HO_94       
   1.69993728638E+02   1.65550598145E+02  HO_95       
   1.64853042603E+02   1.19115798950E+02  HO_96       
   1.58504562378E+02   1.61825103760E+02  HO_97       
   1.59821365356E+02   1.55513504028E+02  HO_98       
   1.64679367065E+02   1.62746398926E+02  HO_99       
   1.91556884766E+02   1.96154006958E+02  HO_100      
   1.66874221802E+02   1.60181503296E+02  HO_101      
