parnme,partrans,parval1,pargp,comments
lak_cond_1,none,       1.0000000E+00,lak_cd,#
lak_cond_2,none,       1.0000000E+00,lak_cd,#
sfr_k_1,none,    1.0000001E-01,sfr_ks,#
sfr_k_2,none,    1.0000001E-01,sfr_ks,#
sfr_k_3,none,    9.2000008E-02,sfr_ks,#
sfr_k_4,none,    1.0000002E-01,sfr_ks,#
sfr_k_5,none,    1.0000001E-01,sfr_ks,#
sfr_k_6,none,    1.0000002E-01,sfr_ks,#
sfr_k_7,none,    9.9999987E-02,sfr_ks,#
sfr_k_8,none,    1.0000002E-01,sfr_ks,#
sfr_k_9,none,    1.0000002E-01,sfr_ks,#
sfr_k_10,none,     1.0000002E-01,sfr_ks,#
sfr_k_11,none,     1.0000001E-01,sfr_ks,#
sfr_k_12,none,     1.0000001E-01,sfr_ks,#
sfr_k_13,none,     1.0000000E-01,sfr_ks,#
sfr_k_14,none,     9.8876417E-02,sfr_ks,#
sfr_k_15,none,     9.9999987E-02,sfr_ks,#
sfr_k_16,none,     1.0000001E-01,sfr_ks,#
sfr_k_17,none,     9.8648660E-02,sfr_ks,#
sfr_k_18,none,     1.0000001E-01,sfr_ks,#
sfr_k_19,none,     9.9999994E-02,sfr_ks,#
sfr_k_20,none,     1.0000002E-01,sfr_ks,#
sfr_k_21,none,     1.0000002E-01,sfr_ks,#
sfr_k_22,none,     9.9664442E-02,sfr_ks,#
vks_1_1,none,    2.5118861E-04,uzf_vks,#
vks_1_10,none,     2.5118861E-04,uzf_vks,#
vks_1_11,none,     2.5118861E-04,uzf_vks,#
vks_1_12,none,     2.5118861E-04,uzf_vks,#
vks_1_13,none,     2.5118861E-04,uzf_vks,#
vks_1_14,none,     2.5118864E-04,uzf_vks,#
vks_1_15,none,     2.5118864E-04,uzf_vks,#
vks_1_16,none,     2.5118864E-04,uzf_vks,#
vks_1_17,none,     2.5118861E-04,uzf_vks,#
vks_1_18,none,     2.5118864E-04,uzf_vks,#
vks_1_19,none,     2.5118861E-04,uzf_vks,#
vks_1_2,none,    2.5118861E-04,uzf_vks,#
vks_1_21,none,     2.5118861E-04,uzf_vks,#
vks_1_3,none,    2.5118864E-04,uzf_vks,#
vks_1_4,none,    3.9810719E-04,uzf_vks,#
vks_1_5,none,    3.9810719E-04,uzf_vks,#
vks_1_6,none,    2.5118861E-04,uzf_vks,#
vks_1_8,none,    2.5118861E-04,uzf_vks,#
vks_1_9,none,    2.5118861E-04,uzf_vks,#
vks_2_1,none,    2.5118861E-04,uzf_vks,#
vks_2_10,none,     2.5118864E-04,uzf_vks,#
vks_2_11,none,     2.5118861E-04,uzf_vks,#
vks_2_12,none,     2.5118861E-04,uzf_vks,#
vks_2_14,none,     1.5848932E-04,uzf_vks,#
vks_2_15,none,     1.5848935E-04,uzf_vks,#
vks_2_16,none,     1.5848932E-04,uzf_vks,#
vks_2_17,none,     1.5848932E-04,uzf_vks,#
vks_2_18,none,     1.5848933E-04,uzf_vks,#
vks_2_19,none,     1.5848932E-04,uzf_vks,#
vks_2_2,none,    9.9999990E-05,uzf_vks,#
vks_2_20,none,     6.3095748E-04,uzf_vks,#
vks_2_21,none,     1.5848930E-04,uzf_vks,#
vks_2_22,none,     1.5848932E-04,uzf_vks,#
vks_2_3,none,    9.9999990E-05,uzf_vks,#
vks_2_4,none,    2.5118861E-04,uzf_vks,#
