,lkbd_lknc_mult,OBSERVATION NAME,SIMULATED EQUIVALENT,OBSERVED VALUE,resid
0,2,HO_13,12.877571106,15.5081996918,-2.6306285858000003
1,2,HO_17,-18.7470092773,6.11660003662,-24.863609313919998
2,2,HO_23,17.63164711,5.3654999733,12.266147136699999
3,2,HO_36,4.38312149048,4.74149990082,-0.3583784103400003
4,2,HO_37,15.2953090668,12.4693002701,2.8260087967
5,10,HO_13,12.877571106,15.5081996918,-2.6306285858000003
6,10,HO_17,-18.7470092773,6.11660003662,-24.863609313919998
7,10,HO_23,17.63164711,5.3654999733,12.266147136699999
8,10,HO_36,4.38312149048,4.74149990082,-0.3583784103400003
9,10,HO_37,15.2953090668,12.4693002701,2.8260087967
10,100,HO_13,12.877571106,15.5081996918,-2.6306285858000003
11,100,HO_17,-18.7470092773,6.11660003662,-24.863609313919998
12,100,HO_23,17.63164711,5.3654999733,12.266147136699999
13,100,HO_36,4.38312149048,4.74149990082,-0.3583784103400003
14,100,HO_37,15.2953090668,12.4693002701,2.8260087967
15,1000,HO_13,12.877571106,15.5081996918,-2.6306285858000003
16,1000,HO_17,-18.7470092773,6.11660003662,-24.863609313919998
17,1000,HO_23,17.63164711,5.3654999733,12.266147136699999
18,1000,HO_36,4.38312149048,4.74149990082,-0.3583784103400003
19,1000,HO_37,15.2953090668,12.4693002701,2.8260087967
20,10000,HO_13,12.877571106,15.5081996918,-2.6306285858000003
21,10000,HO_17,-18.7470092773,6.11660003662,-24.863609313919998
22,10000,HO_23,17.63164711,5.3654999733,12.266147136699999
23,10000,HO_36,4.38312149048,4.74149990082,-0.3583784103400003
24,10000,HO_37,15.2953090668,12.4693002701,2.8260087967
