,lkbd_lknc_mult,hks_mult,vks_mult,OBSERVATION NAME,SIMULATED EQUIVALENT,OBSERVED VALUE,resid
0,1000,1000,1,HO_13,13.1590957642,15.5081996918,-2.3491039276
1,1000,1000,1,HO_17,-17.7442932129,6.11660003662,-23.86089324952
2,1000,1000,1,HO_23,17.7264328003,5.3654999733,12.360932827
3,1000,1000,1,HO_36,4.62687301636,4.74149990082,-0.1146268844599998
4,1000,1000,1,HO_37,15.4522542953,12.4693002701,2.9829540251999997
5,1000,1000,2,HO_13,,15.5081996918,
6,1000,1000,2,HO_17,,6.11660003662,
7,1000,1000,2,HO_23,,5.3654999733,
8,1000,1000,2,HO_36,,4.74149990082,
9,1000,1000,2,HO_37,,12.4693002701,
10,1000,1000,10,HO_13,12.5305490494,15.5081996918,-2.9776506424000004
11,1000,1000,10,HO_17,-17.7159423828,6.11660003662,-23.83254241942
12,1000,1000,10,HO_23,17.2570323944,5.3654999733,11.891532421099999
13,1000,1000,10,HO_36,4.85025787354,4.74149990082,0.10875797272000032
14,1000,1000,10,HO_37,15.3976602554,12.4693002701,2.9283599853
15,1000,1000,1000,HO_13,11.7726268768,15.5081996918,-3.7355728149999994
16,1000,1000,1000,HO_17,-17.6843147278,6.11660003662,-23.80091476442
17,1000,1000,1000,HO_23,17.170293808,5.3654999733,11.8047938347
18,1000,1000,1000,HO_36,4.99462652206,4.74149990082,0.25312662123999985
19,1000,1000,1000,HO_37,15.3875150681,12.4693002701,2.918214798000001
