obsnme,simval,obsval,weight,obgnme,comments
HO_0,72.684135437,60.7131004333,1.0,HEADS,#
HO_1,280.320037842,321.515197754,1.0,HEADS,#
HO_2,85.2505874634,92.1474990845,1.0,HEADS,#
HO_3,40.2488899231,43.8522987366,1.0,HEADS,#
HO_4,1.38837349415,1.17550003529,1.0,HEADS,#
HO_5,2.66739439964,2.3805000782,1.0,HEADS,#
HO_6,52.831993103,60.0546989441,1.0,HEADS,#
HO_7,157.90927124,190.309295654,1.0,HEADS,#
HO_8,46.6379356384,42.3306007385,1.0,HEADS,#
HO_9,43.2884674072,52.0217018127,1.0,HEADS,#
HO_10,39.9180488586,48.6105003357,1.0,HEADS,#
HO_11,37.5475578308,51.3138008118,1.0,HEADS,#
HO_12,27.5888690948,26.0044002533,1.0,HEADS,#
HO_13,13.7457752228,15.5081996918,1.0,HEADS,#
HO_14,326.89630127,380.539794922,1.0,HEADS,#
HO_15,22.1270618439,14.0573997498,1.0,HEADS,#
HO_16,41.7468643188,60.5152015686,1.0,HEADS,#
HO_17,-17.7269496918,6.11660003662,1.0,HEADS,#
HO_18,43.7778511047,38.3134002686,1.0,HEADS,#
HO_19,41.1409759521,38.8009986877,1.0,HEADS,#
HO_20,20.6564731598,17.3945999146,1.0,HEADS,#
HO_21,30.5055789948,27.7947006226,1.0,HEADS,#
HO_22,23.5357837677,18.7147006989,1.0,HEADS,#
HO_23,17.7568836212,5.3654999733,1.0,HEADS,#
HO_24,17.1040897369,12.7018995285,1.0,HEADS,#
HO_25,16.654624939,12.9337997437,1.0,HEADS,#
HO_26,16.858959198,12.0559997559,1.0,HEADS,#
HO_27,16.7751712799,16.8985004425,1.0,HEADS,#
HO_28,18.6743106842,17.4908008575,1.0,HEADS,#
HO_29,17.5633163452,17.8964004517,1.0,HEADS,#
HO_30,24.3443050385,20.4466991425,1.0,HEADS,#
HO_31,37.339756012,38.5256004333,1.0,HEADS,#
HO_32,44.06980896,12.8260002136,1.0,HEADS,#
HO_33,43.9274024963,35.315700531,1.0,HEADS,#
HO_34,43.3452148438,44.5680999756,1.0,HEADS,#
HO_35,43.6133041382,38.0232009888,1.0,HEADS,#
HO_36,5.11125278473,4.74149990082,1.0,HEADS,#
HO_37,15.6418199539,12.4693002701,1.0,HEADS,#
HO_38,127.465736389,131.841796875,1.0,HEADS,#
HO_39,125.773452759,125.179397583,1.0,HEADS,#
HO_40,62.6949729919,64.1027984619,1.0,HEADS,#
HO_41,59.4574012756,58.2778015137,1.0,HEADS,#
HO_42,86.1972885132,95.8992004395,1.0,HEADS,#
HO_43,46.7201538086,44.5270004272,1.0,HEADS,#
HO_44,49.7206878662,57.9972991943,1.0,HEADS,#
HO_45,51.4556884766,52.4485015869,1.0,HEADS,#
HO_46,86.3139343262,86.3453979492,1.0,HEADS,#
HO_47,101.239723206,101.793296814,1.0,HEADS,#
HO_48,276.10848999,337.276397705,1.0,HEADS,#
HO_49,52.0429153442,52.8126983643,1.0,HEADS,#
HO_50,51.7565841675,53.8468017578,1.0,HEADS,#
HO_51,80.7554092407,79.1760025024,1.0,HEADS,#
HO_52,80.7970046997,83.1737976074,1.0,HEADS,#
HO_53,83.6620330811,85.943397522,1.0,HEADS,#
HO_54,57.7082824707,52.5554008484,1.0,HEADS,#
HO_55,77.7854537964,70.5123977661,1.0,HEADS,#
HO_56,50.941734314,49.9133987427,1.0,HEADS,#
HO_57,52.5632820129,49.6344985962,1.0,HEADS,#
HO_58,44.0991439819,43.7001991272,1.0,HEADS,#
HO_59,44.6470718384,47.0382995605,1.0,HEADS,#
HO_60,51.0535316467,48.7924003601,1.0,HEADS,#
HO_61,52.2925415039,49.9469985962,1.0,HEADS,#
HO_62,58.8067169189,60.3050003052,1.0,HEADS,#
HO_63,55.9265098572,58.0648002625,1.0,HEADS,#
HO_64,337.589660645,342.960998535,1.0,HEADS,#
HO_65,145.630233765,140.086105347,1.0,HEADS,#
HO_66,322.219299316,336.102996826,1.0,HEADS,#
HO_67,150.659912109,147.782104492,1.0,HEADS,#
HO_68,144.749191284,149.232696533,1.0,HEADS,#
HO_69,145.845336914,144.211898804,1.0,HEADS,#
HO_70,145.845336914,143.365600586,1.0,HEADS,#
HO_71,549.867919922,553.659973145,1.0,HEADS,#
