#Mendocino reservoir date (starts 1/2/1910) volumes in m3
#TSDate	TSValue
1/2/1910	67284
1/3/1910	68078
1/4/1910	68838
1/5/1910	69567
1/6/1910	69631
1/7/1910	69646
1/8/1910	69636
1/9/1910	69680
1/10/1910	69625
1/11/1910	69570
1/12/1910	69625
1/13/1910	69616
1/14/1910	69791
1/15/1910	69931
1/16/1910	69798
1/17/1910	69554
1/18/1910	69722
1/19/1910	69703
1/20/1910	69701
1/21/1910	69741
1/22/1910	70383
1/23/1910	70745
1/24/1910	71253
1/25/1910	70089
1/26/1910	68090
1/27/1910	69377
1/28/1910	69966
1/29/1910	69932
1/30/1910	69867
1/31/1910	69893
2/1/1910	69863
2/2/1910	69793
2/3/1910	68409
2/4/1910	68409
2/5/1910	68409
2/6/1910	68409
2/7/1910	68409
2/8/1910	68409
2/9/1910	68409
2/10/1910	68409
2/11/1910	68409
2/12/1910	68409
2/13/1910	68409
2/14/1910	68409
2/15/1910	68409
2/16/1910	68409
2/17/1910	68409
2/18/1910	68409
2/19/1910	68409
2/20/1910	68409
2/21/1910	68409
2/22/1910	68409
2/23/1910	68409
2/24/1910	68409
2/25/1910	68409
2/26/1910	68409
2/27/1910	68409
2/28/1910	68409
3/1/1910	68409
3/2/1910	68987
3/3/1910	69567
3/4/1910	70149
3/5/1910	70731
3/6/1910	71316
3/7/1910	71901
3/8/1910	72272
3/9/1910	72643
3/10/1910	72961
3/11/1910	73243
3/12/1910	73529
3/13/1910	73791
3/14/1910	74059
3/15/1910	74345
3/16/1910	74658
3/17/1910	74911
3/18/1910	75149
3/19/1910	75373
3/20/1910	75635
3/21/1910	75852
3/22/1910	76199
3/23/1910	76741
3/24/1910	76971
3/25/1910	77247
3/26/1910	77578
3/27/1910	77977
3/28/1910	78925
3/29/1910	79207
3/30/1910	79483
3/31/1910	79800
4/1/1910	80139
4/2/1910	80462
4/3/1910	80825
4/4/1910	81159
4/5/1910	81502
4/6/1910	81858
4/7/1910	82199
4/8/1910	82466
4/9/1910	82759
4/10/1910	83018
4/11/1910	83244
4/12/1910	83425
4/13/1910	83562
4/14/1910	83682
4/15/1910	83751
4/16/1910	83885
4/17/1910	84010
4/18/1910	84125
4/19/1910	84211
4/20/1910	84281
4/21/1910	84325
4/22/1910	84335
4/23/1910	84325
4/24/1910	84312
4/25/1910	84314
4/26/1910	84279
4/27/1910	84212
4/28/1910	84136
4/29/1910	84044
4/30/1910	83911
5/1/1910	83810
5/2/1910	83663
5/3/1910	83517
5/4/1910	83363
5/5/1910	83212
5/6/1910	83057
5/7/1910	82897
5/8/1910	82734
5/9/1910	82567
5/10/1910	82398
5/11/1910	82229
5/12/1910	82044
5/13/1910	81861
5/14/1910	81682
5/15/1910	81472
5/16/1910	81351
5/17/1910	81238
5/18/1910	81112
5/19/1910	80973
5/20/1910	80821
5/21/1910	80682
5/22/1910	80555
5/23/1910	80412
5/24/1910	80279
5/25/1910	80140
5/26/1910	79994
5/27/1910	79845
5/28/1910	79691
5/29/1910	79540
5/30/1910	79381
5/31/1910	79227
6/1/1910	79054
6/2/1910	78966
6/3/1910	78863
6/4/1910	78744
6/5/1910	78619
6/6/1910	78492
6/7/1910	78360
6/8/1910	78209
6/9/1910	78050
6/10/1910	77878
6/11/1910	77698
6/12/1910	77506
6/13/1910	77303
6/14/1910	77095
6/15/1910	76886
6/16/1910	76657
6/17/1910	76418
6/18/1910	76176
6/19/1910	75957
6/20/1910	75732
6/21/1910	75506
6/22/1910	75257
6/23/1910	75001
6/24/1910	74732
6/25/1910	74481
6/26/1910	74227
6/27/1910	73954
6/28/1910	73671
6/29/1910	73383
6/30/1910	73110
7/1/1910	72839
7/2/1910	72575
7/3/1910	72305
7/4/1910	72013
7/5/1910	71731
7/6/1910	71458
7/7/1910	71154
7/8/1910	70845
7/9/1910	70528
7/10/1910	70202
7/11/1910	69854
7/12/1910	69520
7/13/1910	69192
7/14/1910	68856
7/15/1910	68524
7/16/1910	68232
7/17/1910	67934
7/18/1910	67623
7/19/1910	67337
7/20/1910	67043
7/21/1910	66743
7/22/1910	66435
7/23/1910	66123
7/24/1910	65826
7/25/1910	65527
7/26/1910	65214
7/27/1910	64901
7/28/1910	64581
7/29/1910	64294
7/30/1910	64015
7/31/1910	63744
8/1/1910	63460
8/2/1910	63147
8/3/1910	62831
8/4/1910	62522
8/5/1910	62223
8/6/1910	61921
8/7/1910	61618
8/8/1910	61310
8/9/1910	61002
8/10/1910	60686
8/11/1910	60351
8/12/1910	60007
8/13/1910	59664
8/14/1910	59331
8/15/1910	58997
8/16/1910	58667
8/17/1910	58327
8/18/1910	57998
8/19/1910	57669
8/20/1910	57340
8/21/1910	57006
8/22/1910	56666
8/23/1910	56351
8/24/1910	56030
8/25/1910	55702
8/26/1910	55364
8/27/1910	55023
8/28/1910	54674
8/29/1910	54302
8/30/1910	53938
8/31/1910	53583
9/1/1910	53223
9/2/1910	52867
9/3/1910	52499
9/4/1910	52148
9/5/1910	51814
9/6/1910	51479
9/7/1910	51135
9/8/1910	50793
9/9/1910	50446
9/10/1910	50112
9/11/1910	49777
9/12/1910	49452
9/13/1910	49140
9/14/1910	48842
9/15/1910	48534
9/16/1910	48218
9/17/1910	47822
9/18/1910	47411
9/19/1910	46997
9/20/1910	46595
9/21/1910	46195
9/22/1910	45807
9/23/1910	45441
9/24/1910	45073
9/25/1910	44699
9/26/1910	44312
9/27/1910	43936
9/28/1910	43563
9/29/1910	43206
9/30/1910	42864
10/1/1910	42522
10/2/1910	42218
10/3/1910	41925
10/4/1910	41641
10/5/1910	41372
10/6/1910	41095
10/7/1910	40810
10/8/1910	40530
10/9/1910	40223
10/10/1910	39945
10/11/1910	39665
10/12/1910	39395
10/13/1910	39158
